Title,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Homeland Security fails the decency test,2014085437,Newspapers,," Department of Homeland Security
922120 , American Civil Liberties Union--ACLU
541110
813311"," Copyright WP Company LLC d/b/a The Washington Post Mar 16, 2018"," WPXXWP20180316HomelandSecurityfailsthedecencytest7d0dc09a , WPXXWP20180316HomelandSecurityfailsthedecencytest7d0dc09a , 7653 , PQ_7653_Mar162018______", Editorial," Mar 16, 2018",0190-8286, English, English,," Washington, D.C.","Mar 16, 2018",The Washington Post,2018,https://search.proquest.com/docview/2014085437?accountid=14496, A.20," Children & youth , National security , Political asylum , Immigration policy , Editorials , United States--US , Nielsen, Kirstjen , Kelly, John F",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Homeland+Security+fails+the+decency+test&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-03-16&amp;volume=&amp;issue=&amp;spage=A.20&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Company's failure had roots not only in falling sales but also falling births,2014087367,Newspapers," Dam, Andrew Van
Dam
Van
Andrew
Andrew Van Dam"," Toys R Us Inc
451110
451120 , Amazon.com Inc
334310
454111
518210 , Centers for Disease Control & Prevention--CDC
923120 , Babies R Us
448130 , Walmart Inc
452112
452910
454111"," Copyright WP Company LLC d/b/a The Washington Post Mar 16, 2018"," WPXXWP20180316Companysfailurehadrootsnotonlyinfallings22350172 , WPXXWP20180316Companysfailurehadrootsnotonlyinfallings22350172 , 7653 , PQ_7653_Mar162018______", News," Mar 16, 2018",0190-8286, English, English,," Washington, D.C.","Mar 16, 2018",The Washington Post,2018,https://search.proquest.com/docview/2014087367?accountid=14496, A.15," Population , Target markets , Toys , Economic growth , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Company%27s+failure+had+roots+not+only+in+falling+sales+but+also+falling+births&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-03-16&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Dam%2C+Andrew+Van&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
ACLU lawsuit says Trump administration is illegally jailing asylum seekers,2014087395,Newspapers," Sacchetti, Maria
Sacchetti
Maria
Maria Sacchetti"," Bureau of Immigration & Customs Enforcement
921130 , Department of Homeland Security
922120 , American Civil Liberties Union--ACLU
541110
813311 , District Court-US
922110"," Copyright WP Company LLC d/b/a The Washington Post Mar 16, 2018"," WPXXWP20180316ACLUlawsuitsaysTrumpadministrationisilleaea245e2 , WPXXWP20180316ACLUlawsuitsaysTrumpadministrationisilleaea245e2 , 7653 , PQ_7653_Mar162018______", News," Mar 16, 2018",0190-8286, English, English,," Washington, D.C.","Mar 16, 2018",The Washington Post,2018,https://search.proquest.com/docview/2014087395?accountid=14496, A.2," Immigration policy , Attorneys , Political asylum , Aliens , Engineers , Trump, Donald J , Mexico , Honduras , United States--US , New York , Venezuela , Ohio , Castro, Fidel , Detroit Michigan , Sessions, Jeff , Cuba , Los Angeles California , Virginia , Haiti , Central America , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=ACLU+lawsuit+says+Trump+administration+is+illegally+jailing+asylum+seekers&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-03-16&amp;volume=&amp;issue=&amp;spage=A.2&amp;au=Sacchetti%2C+Maria&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Nostalgia grows for dictatorship in Brazil,2014088536,Newspapers," Lopes, Marina
Lopes
Marina
Marina Lopes"," Facebook Inc
518210
519130 , University of Sao Paulo
611310 , Congress
921120"," Copyright WP Company LLC d/b/a The Washington Post Mar 16, 2018"," WPXXWP20180316NostalgiagrowsfordictatorshipinBrazilbc58ded2 , WPXXWP20180316NostalgiagrowsfordictatorshipinBrazilbc58ded2 , 7653 , PQ_7653_Mar162018______", News," Mar 16, 2018",0190-8286, English, English,," Washington, D.C.","Mar 16, 2018",The Washington Post,2018,https://search.proquest.com/docview/2014088536?accountid=14496, A.6," Law enforcement , Politics , Corruption , Rape , Generation Y , International relations , Democracy , Dictators , Nostalgia , Kickbacks , Presidential elections , Murders & murder attempts , Latin America , Brazil , Rio de Janeiro Brazil , Austria , Rousseff, Dilma , United States--US , Kurz, Sebastian , Philippines , Duterte, Rodrigo R , Cuba , Bolsonaro, Jair , Temer, Michel",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Nostalgia+grows+for+dictatorship+in+Brazil&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-03-16&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Lopes%2C+Marina&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Christine Emba,2014088562,Newspapers," Emba, Christine
Emba
Christine
Christine Emba"," Consumer Financial Protection Bureau
926150 , Department of Housing & Urban Development--HUD
925110 , US Citizenship & Immigration Services
928120"," Copyright WP Company LLC d/b/a The Washington Post Mar 16, 2018"," WPXXWP20180316ChristineEmbafe4fba86 , WPXXWP20180316ChristineEmbafe4fba86 , 7653 , PQ_7653_Mar162018______", Commentary," Mar 16, 2018",0190-8286, English, English,," Washington, D.C.","Mar 16, 2018",The Washington Post,2018,https://search.proquest.com/docview/2014088562?accountid=14496, A.19," Citizenship , 21st century , Affordable housing , Empowerment , Regulatory agencies , Immigration policy , Consumer protection , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Christine+Emba&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-03-16&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Emba%2C+Christine&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Editing out democracy,2014088777,Newspapers," Emba, Christine
Emba
Christine
Christine Emba"," Consumer Financial Protection Bureau
926150 , Agency for International Development--AID
928120 , Department of Housing & Urban Development--HUD
925110 , US Citizenship & Immigration Services
928120"," Copyright WP Company LLC d/b/a The Washington Post Mar 16, 2018"," WPXXWP20180316Editingoutdemocracy4b1d98b8 , WPXXWP20180316Editingoutdemocracy4b1d98b8 , 7653 , PQ_7653_Mar162018______", Commentary," Mar 16, 2018",0190-8286, English, English,," Washington, D.C.","Mar 16, 2018",The Washington Post,2018,https://search.proquest.com/docview/2014088777?accountid=14496, A.19," Affordable housing , Consumer protection , Democracy , Mission statements , Regulatory agencies , Immigration policy , Trump, Donald J , United States--US , Carson, Ben",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Editing+out+democracy&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-03-16&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Emba%2C+Christine&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"John Nasseff Started on Loading Dock and Made a Fortune at West Publishing; High-school dropout donated to hospitals, schools and clinic in Lebanon",2014451077,Newspapers," Hagerty, James R
James
James R Hagerty
Hagerty
R
James R. Hagerty"," Thomson Reuters
511110
511140 , Pioneer Press
323111 , Thomson Corp
511110
511140
551112"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20180316000020180316ee3g002p9 , WSJOWSJO20180316000020180316ee3g002p9 , 117310 , PQ_117310_Mar162018______", News," Mar 16, 2018",, English, English, n/a," New York, N.Y.","Mar 16, 2018",Wall Street Journal (Online),2018,https://search.proquest.com/docview/2014451077?accountid=14496, n/a," Publishing , Clothing , Families & family life , Ellis Island , Texas , Mexico , Chicago Illinois , Wisconsin , United States--US , New York , Hudson River , Venezuela , New Jersey , Minnesota , Lebanon , Mississippi River",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=John+Nasseff+Started+on+Loading+Dock+and+Made+a+Fortune+at+West+Publishing%3B+High-school+dropout+donated+to+hospitals%2C+schools+and+clinic+in+Lebanon&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2018-03-16&amp;volume=&amp;issue=&amp;spage=&amp;au=Hagerty%2C+James+R&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"Small Trends Can Be BIG; 'Go' bags for survivalists, scary Korean cosmetics masks, birthday presents for pets: Cultural shifts just beginning to show themselves can be big business tomorrow",2014460746,Newspapers," Penn, Mark
Mark
Mark Penn
Penn
Mark Penn"," Selfridges
452111 , Costco Wholesale Corp
452910 , Neiman-Marcus Group Inc
452111 , Bureau of the Census
926110 , Stagwell Group
541810
541820 , Simon & Schuster Inc
511130"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20180316000020180316ee3g003e9 , WSJOWSJO20180316000020180316ee3g003e9 , 117310 , PQ_117310_Mar162018______", News," Mar 16, 2018",, English, English, n/a," New York, N.Y.","Mar 16, 2018",Wall Street Journal (Online),2018,https://search.proquest.com/docview/2014460746?accountid=14496, n/a," Polls & surveys , Trends , Generation Y , Older people , Marijuana , Cosmetics , Wyoming , Barrymore, Drew , Idaho , Las Vegas Nevada , South Korea , New Zealand , Montana , New York , United States--US , Kansas City Missouri , Penn, Mark J , Sessions, Jeff , California , Clinton, Bill , Los Angeles California , Clinton, Hillary Rodham , Oregon",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Small+Trends+Can+Be+BIG%3B+%27Go%27+bags+for+survivalists%2C+scary+Korean+cosmetics+masks%2C+birthday+presents+for+pets%3A+Cultural+shifts+just+beginning+to+show+themselves+can+be+big+business+tomorrow&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2018-03-16&amp;volume=&amp;issue=&amp;spage=&amp;au=Penn%2C+Mark&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Guiding the flock,2014384087,Newspapers," Boorstein, Michelle
Boorstein
Michelle
Michelle Boorstein"," Roman Catholic Church
813110"," Copyright WP Company LLC d/b/a The Washington Post Mar 17, 2018"," WPXXWP20180317Guidingtheflockd679eb84 , WPXXWP20180317Guidingtheflockd679eb84 , 7653 , PQ_7653_Mar172018______", News," Mar 17, 2018",0190-8286, English, English,," Washington, D.C.","Mar 17, 2018",The Washington Post,2018,https://search.proquest.com/docview/2014384087?accountid=14496, B.1," Families & family life , Same sex marriage , Catholicism , Popes , Leadership , United States--US , Francis (Pope) , Wuerl, Donald W , Washington DC",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Guiding+the+flock&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-03-17&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Boorstein%2C+Michelle&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Trump nudges GOP challenger out of Senate race in Nevada, aiding Heller",2014384505,Newspapers," DeBonis, Mike
DeBonis
Mike
Mike DeBonis"," Republican Party
813940 , Fox News Channel
515120 , Twitter Inc
519130 , Senate
921120"," Copyright WP Company LLC d/b/a The Washington Post Mar 17, 2018"," WPXXWP20180317TrumpnudgesGOPchallengeroutofSenateraceie5d87ac0 , WPXXWP20180317TrumpnudgesGOPchallengeroutofSenateraceie5d87ac0 , 7653 , PQ_7653_Mar172018______", News," Mar 17, 2018",0190-8286, English, English,," Washington, D.C.","Mar 17, 2018",The Washington Post,2018,https://search.proquest.com/docview/2014384505?accountid=14496, A.4," Health care policy , Political parties , Political campaigns , Presidents , Election results , Candidates , Trump, Donald J , Heller, Dean , Corker, Bob , Rosen, Jacky , United States--US , Cochran, Thad , Washington DC , Pennsylvania , Flake, Jeff , Nevada , Alabama , Clinton, Hillary Rodham , Bannon, Stephen K , Tarkanian, Jerry",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Trump+nudges+GOP+challenger+out+of+Senate+race+in+Nevada%2C+aiding+Heller&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-03-17&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=DeBonis%2C+Mike&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
