Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,documentFeatures,startPage,subjectTerms,subjects,FindACopy,Database
U.S. News: Republicans Put Focus on Insurers --- Trump administration cites problems in some states as health bill moves to Senate,"  With the House GOP health bill now before the Senate, White House aides say their job may become easier as health insurers in the next few weeks make final decisions about where to sell coverage next year and how to price it.Early signals have raised the prospect of no insurers offering coverage in parts of Iowa and Tennessee, and of premium surges in states such as Virginia and Maryland.",1895824893,Newspapers," Radnofsky, Louise
Radnofsky
Louise
Louise Radnofsky; Michael C. Bender , Bender, Michael C
Bender
C
Michael , Radnofsky, Louise
Radnofsky
Louise
Louise Radnofsky , Bender, Michael C
Bender
C
Michael
Michael C. Bender"," Republican Party
813940 , Congressional Budget Office--CBO
921120"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4322225035 , 111558652 , 7510 , WSJ , DWJNJ000000020170508ed580002a", News," May 8, 2017",0099-9660, English, English, A.4," New York, N.Y.","May 8, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1895824893?accountid=14496,, A.4," Health care policy , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Republicans+Put+Focus+on+Insurers+---+Trump+administration+cites+problems+in+some+states+as+health+bill+moves+to+Senate&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Radnofsky%2C+Louise%3BBender%2C+Michael+C&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Strawberry fields forever -- unless immigration policy intrudes,,1895865398,Newspapers," Nickelsburg, Jerry
Nickelsburg
Jerry
Jerry Nickelsburg"," Los Angeles Times
511110"," Copyright Tribune Interactive, LLC May 8, 2017"," 7684 , PQ_7684_May82017 , TRIBTRIB2017050820170507290750500 , TRIBTRIB2017050820170507290750500", News," May 8, 2017",1085-6706, English, English,," Chicago, Ill.","May 8, 2017",Chicago Tribune,2017,https://search.proquest.com/docview/1895865398?accountid=14496,, 15," Immigration policy , Agriculture , International trade , Trade deficit , Farms , Profits , US exports , Aliens , Farmworkers , Seasonal employment , Mexico , United States--US , Canada , Southern California , Ventura County California , California",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=Strawberry+fields+forever+--+unless+immigration+policy+intrudes&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=15&amp;au=Nickelsburg%2C+Jerry&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Federal Appeals Court to Hear Arguments on Trump's Revised Travel Ban; Fourth Circuit Court to consider whether effort to close U.S. borders to some unlawfully targets Muslims,,1895880566,Newspapers," Kendall, Brent
Kendall
Brent
Brent Kendall",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170508000020170508ed58001jm , WSJOWSJO20170508000020170508ed58001jm , 117310 , PQ_117310_May82017", News," May 8, 2017",, English, English, n/a," New York, N.Y.","May 8, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1895880566?accountid=14496,, n/a," Muslims , Political campaigns , Travel , Presidents , Executive orders , Federal court decisions , Religious discrimination , State court decisions , Sudan , Trump, Donald J , Somalia , United States--US , Libya , Iran , Maryland , Yemen , Hawaii , Syria , Virginia",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Federal+Appeals+Court+to+Hear+Arguments+on+Trump%27s+Revised+Travel+Ban%3B+Fourth+Circuit+Court+to+consider+whether+effort+to+close+U.S.+borders+to+some+unlawfully+targets+Muslims&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=&amp;au=Kendall%2C+Brent&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"After Defeat, Marine Le Pen Emerges as Leader of French Opposition; Far-right candidate aims to impose herself as lead architect of a broader nationalist platform",,1895884477,Newspapers," Gauthier-Villars, David
Gauthier-Villars
David
David Gauthier-Villars; William Horobin , Horobin, William
Horobin
William",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170508000020170507ed570048t , WSJOWSJO20170508000020170507ed570048t , 117310 , PQ_117310_May82017", News," May 8, 2017",, English, English, n/a," New York, N.Y.","May 8, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1895884477?accountid=14496,, n/a," Election results , Globalization , Presidential elections , Candidates , Voter behavior , Political parties , Trump, Donald J , United States--US , France , United Kingdom--UK , Europe",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=After+Defeat%2C+Marine+Le+Pen+Emerges+as+Leader+of+French+Opposition%3B+Far-right+candidate+aims+to+impose+herself+as+lead+architect+of+a+broader+nationalist+platform&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=&amp;au=Gauthier-Villars%2C+David%3BHorobin%2C+William&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
THE NATION; Travel ban gets new day in court; At issue is presidential power and religious freedom as Trump appeals two rulings.,,1895890414,Newspapers," Savage, David G
Savage
G
David
David G. Savage"," American Civil Liberties Union--ACLU
541110
813311"," Copyright Los Angeles Times May 8, 2017"," 7683 , PQ_7683_May82017 , LATMLATM2017050811145 , LATMLATM2017050811145", News," May 8, 2017",0458-3035, English, English, A.6," Los Angeles, Calif.","May 8, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1895890414?accountid=14496,, A.6," Attorneys , Muslims , Freedom of religion , Supreme Court decisions , Political campaigns , Presidents , Executive orders , Federal court decisions , Litigation , Judges & magistrates , United States--US , Maryland , Hawaii , Virginia"," COURT OF APPEALS (U.S.) , EXECUTIVE ORDERS , MUSLIMS , COUNTRIES , TRAVEL RESTRICTIONS , VISAS , REFUGEES",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=THE+NATION%3B+Travel+ban+gets+new+day+in+court%3B+At+issue+is+presidential+power+and+religious+freedom+as+Trump+appeals+two+rulings.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Savage%2C+David+G&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"POLITICS WATCH; A look at L.A.'s House hopefuls; After topping a packed primary field, one of these two will be elected to Congress in June runoff",,1895890494,Newspapers," Mai-Duc, Christine
Mai-Duc
Christine
CHRISTINE MAI-DUC"," Congress
921120 , Emory University
611310 , Senate
921120"," Copyright Los Angeles Times May 8, 2017"," 7683 , PQ_7683_May82017 , LATMLATM2017050811118 , LATMLATM2017050811118", News," May 8, 2017",0458-3035, English, English, B.2," Los Angeles, Calif.","May 8, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1895890494?accountid=14496,, B.2," Primaries & caucuses , Parents & parenting , Political parties , Families & family life , Labor unions , Endorsements , Congressional elections , Aliens , Immigration , Voter behavior , Harris, Kamala , Mexico , United States--US , Becerra, Xavier , California , Los Angeles California"," GOMEZ, JIMMY , AHN, ROBERT LEE , CALIFORNIA CONGRESSIONAL DISTRICT 34 , POLITICAL CANDIDATES , RUNOFF ELECTIONS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=POLITICS+WATCH%3B+A+look+at+L.A.%27s+House+hopefuls%3B+After+topping+a+packed+primary+field%2C+one+of+these+two+will+be+elected+to+Congress+in+June+runoff&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=B.2&amp;au=Mai-Duc%2C+Christine&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
ON EDGE IN TRUMP'S AMERICA; THE STRESS OF 'WHAT IF'; Children of immigrants here illegally live with the specter of their parents' deportation.,,1895890552,Newspapers," Kohli, Sonali
Kohli
Sonali
Sonali Kohli",," Copyright Los Angeles Times May 8, 2017"," 7683 , PQ_7683_May82017 , LATMLATM2017050811158 , LATMLATM2017050811158", News," May 8, 2017",0458-3035, English, English, A.1," Los Angeles, Calif.","May 8, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1895890552?accountid=14496,, A.1," Immigration policy , Parents & parenting , Families & family life , Political campaigns , Students , Fear & phobias , Deportation , Secondary schools , Aliens , Community colleges , United States--US"," CHILDREN , CITIZENSHIP , PARENTS , IMMIGRANTS , DEPORTATION , STRESS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=ON+EDGE+IN+TRUMP%27S+AMERICA%3B+THE+STRESS+OF+%27WHAT+IF%27%3B+Children+of+immigrants+here+illegally+live+with+the+specter+of+their+parents%27+deportation.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Kohli%2C+Sonali&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Travel ban is set for key test in appeals court [Corrected 05/08/2017],,1895890558,Newspapers," Savage, David G
Savage
G
David
David G Savage"," American Civil Liberties Union--ACLU
541110
813311"," Copyright Tribune Interactive, LLC May 8, 2017"," 7684 , PQ_7684_May82017 , TRIBTRIB2017050820170508290816047 , TRIBTRIB2017050820170508290816047", News," May 8, 2017",1085-6706, English, English,," Chicago, Ill.","May 8, 2017",Chicago Tribune,2017,https://search.proquest.com/docview/1895890558?accountid=14496,, 8," Attorneys , Muslims , Supreme Court decisions , Political campaigns , Presidents , Religion , Executive orders , Federal court decisions , Litigation , Trump, Donald J , United States--US , Maryland , Hawaii , Virginia",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=Travel+ban+is+set+for+key+test+in+appeals+court+%5BCorrected+05%2F08%2F2017%5D&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=8&amp;au=Savage%2C+David+G&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Doctors on front line in Syria [Corrected 05/08/2017],,1895890626,Newspapers," Pashman, Manya Brachear
Pashman
Brachear
Manya
Manya Brachear Pashman"," Damascus University
611310 , Advocate Christ Medical Center
622110"," Copyright Tribune Interactive, LLC May 8, 2017"," 7684 , PQ_7684_May82017 , TRIBTRIB2017050820170508290816053 , TRIBTRIB2017050820170508290816053", News," May 8, 2017",1085-6706, English, English,," Chicago, Ill.","May 8, 2017",Chicago Tribune,2017,https://search.proquest.com/docview/1895890626?accountid=14496,, 1," Humanitarian aid , Surgeons , Dentists , Catheters , Physicians , Hospitals , Families & family life , Health facilities , Boundaries , Refugee camps , Jordan , Chicago Illinois , Greece , Turkey , Lebanon , Syria",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=Doctors+on+front+line+in+Syria+%5BCorrected+05%2F08%2F2017%5D%3A+Chicago-area+physicians+risk+their+own+lives+in+war+zone+to+treat+victims+of+yearslong+conflict&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=1&amp;au=Pashman%2C+Manya+Brachear&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Few curbs for city's distracted drivers [Corrected 05/08/2017],,1895890630,Newspapers," Wisniewski, Mary
Wisniewski
Mary
Mary Wisniewski",," Copyright Tribune Interactive, LLC May 8, 2017"," 7684 , PQ_7684_May82017 , TRIBTRIB2017050820170508290816003 , TRIBTRIB2017050820170508290816003", News," May 8, 2017",1085-6706, English, English,," Chicago, Ill.","May 8, 2017",Chicago Tribune,2017,https://search.proquest.com/docview/1895890630?accountid=14496,, 1," Cellular telephones , Violations , Fatalities , Law enforcement , State laws , Traffic accidents & safety , Chicago Illinois",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=Few+curbs+for+city%27s+distracted+drivers+%5BCorrected+05%2F08%2F2017%5D&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=1&amp;au=Wisniewski%2C+Mary&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
ON MAY 8 ... [Corrected 05/09/2017],,1895890704,Newspapers,," National Collegiate Athletic Association--NCAA
813990"," Copyright Tribune Interactive, LLC May 8, 2017"," 7684 , PQ_7684_May82017 , TRIBTRIB2017050820170508290816013 , TRIBTRIB2017050820170508290816013", News," May 8, 2017",1085-6706, English, English,," Chicago, Ill.","May 8, 2017",Chicago Tribune,2017,https://search.proquest.com/docview/1895890704?accountid=14496,, 6," Military schools , Presidents , Candidates , South Carolina , Texas , Chicago Illinois , United States--US , Nixon, Richard M , Liston, Sonny , Rickles, Don , Germany , Illinois , Peru , South Dakota , Costa Rica , England , Peppard, George , Pynchon, Thomas , France , Mississippi River , Palo Alto California , Europe",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=ON+MAY+8+...+%5BCorrected+05%2F09%2F2017%5D&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=6&amp;au=&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Obama Warned Trump Against Hiring Flynn; Advice came shortly after November election and concerned Flynn's checkered service as head of Defense Intelligence Agency,,1896087369,Newspapers," Lee, Carol E
Lee
E
Carol
Carol E. Lee; Del Quentin Wilber , Wilber, Del Quentin
Wilber
Quentin
Del"," Congress
921120"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170508000020170508ed580048t , WSJOWSJO20170508000020170508ed580048t , 117310 , PQ_117310_May82017", News," May 8, 2017",, English, English, n/a," New York, N.Y.","May 8, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1896087369?accountid=14496,, n/a," Presidents , National security , Espionage , Security clearances , Wilber, Del Quentin , United States--US , Spicer, Sean , Pence, Mike",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Obama+Warned+Trump+Against+Hiring+Flynn%3B+Advice+came+shortly+after+November+election+and+concerned+Flynn%27s+checkered+service+as+head+of+Defense+Intelligence+Agency&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=&amp;au=Lee%2C+Carol+E%3BWilber%2C+Del+Quentin&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Appellate Judges Review Travel Ban; Court considers whether Trump's prior statements should be considered when deciding the case,,1896139731,Newspapers," Kendall, Brent
Kendall
Brent
Brent Kendall"," Republican Party
813940 , American Civil Liberties Union--ACLU
541110
813311"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170508000020170508ed58007ve , WSJOWSJO20170508000020170508ed58007ve , 117310 , PQ_117310_May82017", News," May 8, 2017",, English, English, n/a," New York, N.Y.","May 8, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1896139731?accountid=14496,, n/a," Muslims , Political campaigns , Travel , Court hearings & proceedings , Presidents , Executive orders , Federal court decisions , Religious discrimination , State court decisions , Sudan , Trump, Donald J , Somalia , Libya , Iran , Maryland , Yemen , Hawaii , Syria , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Appellate+Judges+Review+Travel+Ban%3B+Court+considers+whether+Trump%27s+prior+statements+should+be+considered+when+deciding+the+case&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-05-08&amp;volume=&amp;issue=&amp;spage=&amp;au=Kendall%2C+Brent&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Appellate Judges Review Travel Ban; Court considers whether Trump's prior statements should be considered when deciding the case,,1896173634,Newspapers," Kendall, Brent
Kendall
Brent
Brent Kendall"," Republican Party
813940 , American Civil Liberties Union--ACLU
541110
813311"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170509000020170508ed58007ve , WSJOWSJO20170509000020170508ed58007ve , 117310 , PQ_117310_May92017", News," May 9, 2017",, English, English, n/a," New York, N.Y.","May 9, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1896173634?accountid=14496,, n/a," Muslims , Political campaigns , Presidents , Court hearings & proceedings , Travel , Executive orders , Federal court decisions , Religious discrimination , State court decisions , Sudan , Trump, Donald J , Somalia , Libya , Iran , Maryland , Hawaii , Yemen , Syria , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Appellate+Judges+Review+Travel+Ban%3B+Court+considers+whether+Trump%27s+prior+statements+should+be+considered+when+deciding+the+case&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-05-09&amp;volume=&amp;issue=&amp;spage=&amp;au=Kendall%2C+Brent&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
L.A. ready for Olympic hurdle; IOC panel will visit for final evaluation of local bid to host the 2024 Games.,,1896209660,Newspapers," Wharton, David
Wharton
David
David Wharton"," Pacific University
611310"," Copyright Los Angeles Times May 9, 2017"," 7683 , PQ_7683_May92017 , LATMLATM2017050911219 , LATMLATM2017050911219", News," May 9, 2017",0458-3035, English, English, D.1," Los Angeles, Calif.","May 9, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1896209660?accountid=14496,, D.1," Olympic games , Politics , International relations , Political campaigns , Bids , Cities , Canada , South America , California , Macron, Emmanuel , Los Angeles California , France , Oregon"," LOS ANGELES , OLYMPIC GAMES (2024)",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=L.A.+ready+for+Olympic+hurdle%3B+IOC+panel+will+visit+for+final+evaluation+of+local+bid+to+host+the+2024+Games.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-05-09&amp;volume=&amp;issue=&amp;spage=D.1&amp;au=Wharton%2C+David&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"America's future looks a lot like this Texas city; Long an oil town, Houston's new boom is diversity",,1896209834,Newspapers," Mejia, Brittny
Mejia
Brittny
Brittny Mejia",," Copyright Los Angeles Times May 9, 2017"," 7683 , PQ_7683_May92017 , LATMLATM2017050911205 , LATMLATM2017050911205", News," May 9, 2017",0458-3035, English, English, A.1," Los Angeles, Calif.","May 9, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1896209834?accountid=14496,, A.1," Immigration policy , Population , Photographers , Dance , Stereotypes , Secondary schools , Soccer , Aliens , Cities , Texas , Mexico , New York , Africa , Central America"," HOUSTON (TX) , IMMIGRANTS , MINORITIES , DEMOGRAPHICS , RACIAL RELATIONS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=America%27s+future+looks+a+lot+like+this+Texas+city%3B+Long+an+oil+town%2C+Houston%27s+new+boom+is+diversity&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-05-09&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Mejia%2C+Brittny&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Brown readies revised state budget; The governor's spending plan must take into account a bumpy tax report and unsettled politics.,,1896209887,Newspapers," Myers, John
Myers
John
John Myers"," Medi-Cal
524114"," Copyright Los Angeles Times May 9, 2017"," 7683 , PQ_7683_May92017 , LATMLATM2017050911208 , LATMLATM2017050911208", News," May 9, 2017",0458-3035, English, English, B.1," Los Angeles, Calif.","May 9, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1896209887?accountid=14496,, B.1," State budgets , Tobacco , Tax revenues , Health care , Tax increases , California , United States--US , Sacramento California"," BROWN, EDMUND G JR (JERRY) , CALIFORNIA , BUDGET , GOVERNMENT SPENDING , TAXES , FEDERAL AID",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Brown+readies+revised+state+budget%3B+The+governor%27s+spending+plan+must+take+into+account+a+bumpy+tax+report+and+unsettled+politics.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-05-09&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Myers%2C+John&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Appeals court skeptical of ban on travel; Lawyer cites security in defending Trump's order, but judges point to president's remarks about Muslims.",,1896213938,Newspapers," Savage, David G
Savage
G
David
David G. Savage"," American Civil Liberties Union--ACLU
541110
813311"," Copyright Los Angeles Times May 9, 2017"," 7683 , PQ_7683_May92017 , LATMLATM2017050911203 , LATMLATM2017050911203", News," May 9, 2017",0458-3035, English, English, A.1," Los Angeles, Calif.","May 9, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1896213938?accountid=14496,, A.1," National security , Muslims , Supreme Court decisions , Presidents , Court hearings & proceedings , Religion , Executive orders , Federal court decisions , United States--US , Virginia , Spicer, Sean , Bush, George H W , Obama, Barack"," COURT OF APPEALS (U.S.) , JUDGES , EXECUTIVE ORDERS , MUSLIMS , COUNTRIES , TRAVEL RESTRICTIONS , VISAS , REFUGEES",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Appeals+court+skeptical+of+ban+on+travel%3B+Lawyer+cites+security+in+defending+Trump%27s+order%2C+but+judges+point+to+president%27s+remarks+about+Muslims.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-05-09&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Savage%2C+David+G&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"TRUMPHOBIA LIFTS; For Mexico, he has not been as disastrous as",,1896213949,Newspapers," McDonnell, Patrick J
McDonnell
J
Patrick
Patrick J. McDonnell"," Congress
921120"," Copyright Los Angeles Times May 9, 2017"," 7683 , PQ_7683_May92017 , LATMLATM2017050911201 , LATMLATM2017050911201", News," May 9, 2017",0458-3035, English, English, A.1," Los Angeles, Calif.","May 9, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1896213949?accountid=14496,, A.1," North American Free Trade Agreement , Political campaigns , International trade , Presidential elections , Trade agreements , Energy industry , Aliens , Immigration , Public policy , Remittances , Mexico , United States--US"," TRUMP, DONALD J , MEXICO , PUBLIC OPINION , RACIAL SLURS , ECONOMY , UNITED STATES , FOREIGN RELATIONS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=TRUMPHOBIA+LIFTS%3B+For+Mexico%2C+he+has+not+been+as+disastrous+as&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-05-09&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=McDonnell%2C+Patrick+J&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
