Title,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
DHS Seeks to End Work Eligibility for Spouses of H-1B Holders; Department in proposal cites Trump's 'Hire American' executive order in notice of possible reversal of Obama-era rule,1977067928,Newspapers," Meckler, Laura
Laura
Laura Meckler
Meckler
Laura Meckler"," Center for Immigration Studies
541720"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20171215000020171215edcf000p1 , WSJOWSJO20171215000020171215edcf000p1 , 117310 , PQ_117310_Dec152017______", News," Dec 15, 2017",, English, English, n/a," New York, N.Y.","Dec 15, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1977067928?accountid=14496, n/a," Immigration policy , Regulation , Passports & visas , Executive orders , National security , Trump, Donald J , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=DHS+Seeks+to+End+Work+Eligibility+for+Spouses+of+H-1B+Holders%3B+Department+in+proposal+cites+Trump%27s+%27Hire+American%27+executive+order+in+notice+of+possible+reversal+of+Obama-era+rule&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=&amp;au=Meckler%2C+Laura&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Why Trump should start thinking about a post-Twitter presidency,1977073241,Newspapers," Victor Davis Hanson
Victor Davis Hanson"," New York Times Co
511110
511120
515112
515120 , National Football League--NFL
711211
813990 , Twitter Inc
519130 , Republican Party
813940"," Copyright Tribune Interactive, LLC Dec 15, 2017"," 7684 , PQ_7684_Dec152017 , TRIBTRIB2017121520171214320471264 , TRIBTRIB2017121520171214320471264", News," Dec 15, 2017",1085-6706, English, English,," Chicago, Ill.","Dec 15, 2017",Chicago Tribune,2017,https://search.proquest.com/docview/1977073241?accountid=14496, 20," Social networks , Presidents , Celebrities , Trump, Donald J , Clinton, Hillary Rodham , United States--US , Jerusalem Israel , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=Why+Trump+should+start+thinking+about+a+post-Twitter+presidency&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=20&amp;au=Victor+Davis+Hanson&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Turmoil in Kiev,1977115526,Newspapers,," United Nations--UN
928120 , International Monetary Fund--IMF
522298 , European Union
926110
928120"," Copyright WP Company LLC d/b/a The Washington Post Dec 15, 2017"," WPXXWP20171215TurmoilinKiev5c0e3122 , WPXXWP20171215TurmoilinKiev5c0e3122 , 7653 , PQ_7653_Dec152017______", Editorial," Dec 15, 2017",0190-8286, English, English,," Washington, D.C.","Dec 15, 2017",The Washington Post,2017,https://search.proquest.com/docview/1977115526?accountid=14496, A.24," Corruption , United States--US , Ukraine , Putin, Vladimir , Tillerson, Rex W , Georgia",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Turmoil+in+Kiev&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=A.24&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Funding bill pushed by House GOP sets up showdown,1977119595,Newspapers," DeBonis, Mike
DeBonis
Mike
Mike DeBonis , O'Keefe, Ed
O'Keefe
Ed
Ed O'Keefe"," Republican Party
813940 , Democratic Party
813940"," Copyright WP Company LLC d/b/a The Washington Post Dec 15, 2017"," WPXXWP20171215FundingbillpushedbyHouseGOPsetsupshowdowb2d27970 , WPXXWP20171215FundingbillpushedbyHouseGOPsetsupshowdowb2d27970 , 7653 , PQ_7653_Dec152017______", News," Dec 15, 2017",0190-8286, English, English,," Washington, D.C.","Dec 15, 2017",The Washington Post,2017,https://search.proquest.com/docview/1977119595?accountid=14496, A.4," Agreements , Immigration policy , Federal budget , Veterans , Bills , Funding , Legislators , Legislation , Defense , Leadership , Aliens , Narcotics , Pelosi, Nancy , Frelinghuysen, Rodney P",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Funding+bill+pushed+by+House+GOP+sets+up+showdown&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=DeBonis%2C+Mike%3BO%27Keefe%2C+Ed&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Law School Is Hot Again as Politics Piques Interest; The number of people applying to law school has risen 12%, in the first significant boost in years",1977146504,Newspapers," Randazzo, Sara
Sara
Sara Randazzo
Randazzo
Sara Randazzo"," American Bar Association
813920 , John Jay College of Criminal Justice
611310 , University of Maryland
611310"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20171215000020171215edcf001p8 , WSJOWSJO20171215000020171215edcf001p8 , 117310 , PQ_117310_Dec152017______", News," Dec 15, 2017",, English, English, n/a," New York, N.Y.","Dec 15, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1977146504?accountid=14496, n/a," Students , Law schools , Attorneys , Employment , Trump, Donald J , Southern California , Minnesota",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Law+School+Is+Hot+Again+as+Politics+Piques+Interest%3B+The+number+of+people+applying+to+law+school+has+risen+12%25%2C+in+the+first+significant+boost+in+years&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=&amp;au=Randazzo%2C+Sara&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Congressman Wields Clout in City Politics,1977161838,Newspapers," Gay, Mara
Mara
Mara Gay
Gay
Mara Gay"," City Council-New York City NY
921120"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020171215edcf00021 , DWJNJ000000020171215edcf00021 , 7510 , PQ_7510_Dec152017______", News," Dec 15, 2017",0099-9660, English, English, n/a," New York, N.Y.","Dec 15, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1977161838?accountid=14496, n/a," Legislators , New York , Torres, Ritchie , Crowley, Joseph",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Congressman+Wields+Clout+in+City+Politics&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=&amp;au=Gay%2C+Mara&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Who Owns the Dead Sea Scrolls?,1977163536,Newspapers," Allen, Charlotte
Charlotte
Charlotte Allen
Allen
Charlotte Allen"," Israel Museum
712110 , Palestinian National Authority
921190"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020171215edcf0000p , DWJNJ000000020171215edcf0000p , 7510 , PQ_7510_Dec152017______"," Opinions , Commentary"," Dec 15, 2017",0099-9660, English, English, A.15," New York, N.Y.","Dec 15, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1977163536?accountid=14496, A.15," Palestinians , Manuscripts , Museums , Historic artifacts , Ownership , Middle East , Dead Sea , Germany , Jordan (country) , Israel",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Who+Owns+the+Dead+Sea+Scrolls%3F&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Allen%2C+Charlotte&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
A Retrofit for America's Dying Malls; Communities are finding innovative ways to transform their abandoned malls and big-box stores into more useful spaces,1977189638,Newspapers," Florida, Richard
Richard
Richard Florida
Florida
Richard Florida; Ellen Dunham-Jones , Dunham-Jones, Ellen
Ellen
Ellen Dunham-Jones
Dunham-Jones"," Credit Suisse Group
522110 , Austin Community College
611210 , J C Penney Co Inc
446110
452111
454113
551112 , City University of New York-City College
611210 , RadioShack Corp
443142 , Westfield Corp
531210"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20171215000020171215edcf002e5 , WSJOWSJO20171215000020171215edcf002e5 , 117310 , PQ_117310_Dec152017______", News," Dec 15, 2017",, English, English, n/a," New York, N.Y.","Dec 15, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1977189638?accountid=14496, n/a," Retailing industry , Shopping centers , Community colleges , Retail stores , New store openings , Professional hockey , Texas , Nashville Tennessee",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=A+Retrofit+for+America%27s+Dying+Malls%3B+Communities+are+finding+innovative+ways+to+transform+their+abandoned+malls+and+big-box+stores+into+more+useful+spaces&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=&amp;au=Florida%2C+Richard%3BDunham-Jones%2C+Ellen&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Openings,1977210802,Newspapers,,," Copyright WP Company LLC d/b/a The Washington Post Dec 15, 2017"," WPXXWP20171215MISSINGTITLEda760012 , WPXXWP20171215MISSINGTITLEda760012 , 7653 , PQ_7653_Dec152017______", News," Dec 15, 2017",0190-8286, English, English,," Washington, D.C.","Dec 15, 2017",The Washington Post,2017,https://search.proquest.com/docview/1977210802?accountid=14496, T.21," American history , Art galleries & museums , Artists , Photographs , Painting , World War I , Baltimore Maryland , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Openings&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=T.21&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The GOP's war of ideas,1977234264,Newspapers," Buskirk, Christopher
Buskirk
Christopher
Christopher Buskirk"," Breitbart News Network
519110 , Republican Party
813940"," Copyright WP Company LLC d/b/a The Washington Post Dec 15, 2017"," WPXXWP20171215TheGOPswarofideasee3aa330 , WPXXWP20171215TheGOPswarofideasee3aa330 , 7653 , PQ_7653_Dec152017______", Editorial," Dec 15, 2017",0190-8286, English, English,," Washington, D.C.","Dec 15, 2017",The Washington Post,2017,https://search.proquest.com/docview/1977234264?accountid=14496, A.23," Immigration policy , Political campaigns , Presidents , Middle class , Bills , Political parties , China , Alabama , Bannon, Stephen K",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+GOP%27s+war+of+ideas&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=A.23&amp;au=Buskirk%2C+Christopher&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
