Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,documentFeatures,startPage,subjectTerms,subjects,FindACopy,Database
"In lawsuit, wine bar says Trump's D.C. hotel has illegal edge","Eric Trump called the lawsuit ""a publicity stunt"" in an interview Thursday afternoon after a promotional event for the Senior PGA Championship, the golf tournament he will host in Loudoun County in May.The complaint cites Trump's appearances at the hotel, its hosting of foreign diplomats and White House press secretary Sean Spicer's comments saying, shortly before the inauguration: ""It's an absolutely stunning hotel.A man chasing fake news accounts fired a shotgun in Comet Ping Pong pizzeria a month after the election, while the owners of Maggiano's Little Italy apologized for inadvertently hosting a dinner in November sponsored by the National Policy Institute, a think tank that promotes white-nationalist ideologies.Paul F. Rothstein, a professor at Georgetown University's law school, said that when the Supreme Court allowed a sexual harassment suit to proceed against President Bill Clinton in 1997, it opened the door to other litigation against sitting presidents.",1875648477,Newspapers," O'Connell, Jonathan
O'Connell
Jonathan
Jonathan O'Connell"," Public Citizen Litigation Group
813319 , International Bank for Reconstruction & Development--World Bank
928120 , George Washington University
611310"," (Copyright The Washington Post Company, Mar 10, 2017)"," WPXXWP20170310InlawsuitwinebarsaysTrumpsDChotelhasille9d2027d4 , WPXXWP20170310InlawsuitwinebarsaysTrumpsDChotelhasille9d2027d4 , 7653 , PQ_7653_Mar102017", News," Mar 10, 2017",0190-8286, English, English, A.17," Washington, D.C.","Mar 10, 2017",The Washington Post,2017,https://search.proquest.com/docview/1875648477?accountid=14496,, A.17," Politics , Hotels & motels , Diplomatic & consular services , Restaurants , Tournaments & championships , Political campaigns , Presidents , Professional golf , Nader, Ralph , Trump, Donald J , United States--US , Spicer, Sean", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=In+lawsuit%2C+wine+bar+says+Trump%27s+D.C.+hotel+has+illegal+edge&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=O%27Connell%2C+Jonathan&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The Constitution isn't a restaurant menu,"Two recent instances of the lawlessness of Beltway elites concern the U.S.-Mexico border barrier and the Export-Import Bank of the United States (Ex-Im).Most ordinary Americans don't know what Ex-Im is, while most of those who do say that of course the U.S. government should use ""export credits"" - subsidies - to favor U.S. companies fighting for international business against foreign competitors backed by their own governments' subsidies.Did the bank then spring back into action and fund the long line of credit guarantees for U.S. companies waiting for approval?About 40 transactions, worth $30 billion in U.S. products, are stuck in limbo because anti-Ex-Im dead-enders have blocked the bank's board from getting the quorum of confirmed members.Last year, Senate Banking Committee Chairman Richard Shelby (R-Ala.) refused to allow the committee to consider confirmation of two pending nominees - one Republican and one Democrat - needed for a quorum.",1875648864,Newspapers," Hewitt, Hugh
Hewitt
Hugh
Hugh Hewitt"," Export-Import Bank of the United States
522298 , Congress
921120"," (Copyright The Washington Post Company, Mar 10, 2017)"," WPXXWP20170310TheConstitutionisntarestaurantmenu27455060 , WPXXWP20170310TheConstitutionisntarestaurantmenu27455060 , 7653 , PQ_7653_Mar102017", Editorial," Mar 10, 2017",0190-8286, English, English, A.19," Washington, D.C.","Mar 10, 2017",The Washington Post,2017,https://search.proquest.com/docview/1875648864?accountid=14496,, A.19," Export import banks , Presidents , Drug legalization , Subsidies , Marijuana , Congressional committees , Mexico , United States--US , Obama, Barack", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+Constitution+isn%27t+a+restaurant+menu&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Hewitt%2C+Hugh&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The reality check,"What we have in mind, rather, are things that are impossible, period - such as massively cutting taxes and leaving entitlement programs alone, while simultaneously reducing the federal debt. At his Senate hearing to be confirmed as treasury secretary, Steven Mnuchin asserted forcefully that the Internal Revenue Service needed more funding, which would more than pay for itself in enhanced tax compliance. Yet the White House budget office, searching for cuts to pay for Mr.Trump's...",1875648920,Newspapers,," Internal Revenue Service--IRS
921130"," (Copyright The Washington Post Company, Mar 10, 2017)"," WPXXWP20170310Therealitychecke26ada64 , WPXXWP20170310Therealitychecke26ada64 , 7653 , PQ_7653_Mar102017", Editorial," Mar 10, 2017",0190-8286, English, English, A.20," Washington, D.C.","Mar 10, 2017",The Washington Post,2017,https://search.proquest.com/docview/1875648920?accountid=14496,, A.20," Federal budget , Madison, James (1751-1836) , Chicago Illinois , Mexico , United States--US , Israel , Jerusalem Israel , Tel Aviv Israel", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+reality+check&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=A.20&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
A Census That Divides and 'Nudges',"  A recently released Census Bureau study finds ""Hispanic respondents identified as Hispanic alone at significantly higher rates when responding to the combined question formats compared to the Separate Questions format.""",1875723858,Newspapers," Gonzalez, Mike
Gonzalez
Mike
Mike Gonzalez , Gonzalez, Mike
Gonzalez
Mike
Mike Gonzalez"," Bureau of the Census
926110"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4319931761 , 111306682 , 7510 , WSJ , DWJNJ000000020170310ed3a0000m", Commentary," Mar 10, 2017",0099-9660, English, English, A.13," New York, N.Y.","Mar 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1875723858?accountid=14496,, A.13," Classification , Demographics , Minority & ethnic groups , Census of Population , Middle East , North Africa , Latin America",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=A+Census+That+Divides+and+%27Nudges%27&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Gonzalez%2C+Mike&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
World-Wide,"  House Republicans advanced legislation as part of their goal to dismantle the ACA, but conservative lawmakers warned that the current approach won't pass. ---",1875725936,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous , Anonymous
Anonymous
Anonymous
Anonymous"," Central Intelligence Agency--CIA
928110
928120"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4319933951 , 111306682 , 7510 , WSJ , DWJNJ000000020170310ed3a0002f", News," Mar 10, 2017",0099-9660, English, English, A.1," New York, N.Y.","Mar 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1875725936?accountid=14496,, A.1," Missile defense , Bills , Yemen , Iran , Syria , Turkey , United States--US , South Korea",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World-Wide&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. News: Republican Lawyer Up For Civil Rights Post,  A media-savvy Indian-American leader of the California Republican Party who sang a Sikh prayer at last year's national convention is an early candidate to lead the closely watched Civil Rights Division at the Justice Department.,1875743771,Newspapers," Reinhard, Beth
Reinhard
Beth
Beth Reinhard , Reinhard, Beth
Reinhard
Beth
Beth Reinhard"," Heritage Foundation
541720 , American Civil Liberties Union--ACLU
813311
541110 , Department of Justice
922130"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4319936141 , 111306682 , 7510 , WSJ , DWJNJ000000020170310ed3a0001p", News," Mar 10, 2017",0099-9660, English, English, A.5," New York, N.Y.","Mar 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1875743771?accountid=14496,, A.5," Nominations , Asian Americans , Civil rights , California , Sessions, Jeff , Dhillon, Harmeet",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Republican+Lawyer+Up+For+Civil+Rights+Post&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=Reinhard%2C+Beth&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. News: State Challenges Revised Trump Order,"  Washington state, which played a central legal role in derailing President Donald Trump's original executive order on immigration, also is challenging his revised order issued this week, its attorney general said Thursday.",1875743781,Newspapers," Kendall, Brent
Kendall
Brent
Brent Kendall , Kendall, Brent
Kendall
Brent
Brent Kendall",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4319935951 , 111306682 , 7510 , WSJ , DWJNJ000000020170310ed3a00015", News," Mar 10, 2017",0099-9660, English, English, A.3," New York, N.Y.","Mar 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1875743781?accountid=14496,, A.3," Attorneys general , Executive orders , Immigration policy , Massachusetts , New York , Washington (state) , Schneiderman, Eric , Ferguson, Bob , Healey, Maura T , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+State+Challenges+Revised+Trump+Order&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Kendall%2C+Brent&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. News: California GOP Focuses on Poverty,"  [...]they point to Republican support for the earned-income tax credit, which supplements the federal tax credit and aids low-income workers.",1875743827,Newspapers," Lazo, Alejandro
Lazo
Alejandro
Alejandro Lazo , Lazo, Alejandro
Lazo
Alejandro
Alejandro Lazo"," Democratic Party
813940 , Republican Party
813940"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4319935981 , 111306682 , 7510 , WSJ , DWJNJ000000020170310ed3a00018", News," Mar 10, 2017",0099-9660, English, English, A.5," New York, N.Y.","Mar 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1875743827?accountid=14496,, A.5," Affordable housing , Homeless people , Income inequality , Poverty , Legislation , California , Mayes, Chad",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+California+GOP+Focuses+on+Poverty&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=Lazo%2C+Alejandro&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
LafargeHolcim Faces Warnings on Providing Cement for U.S. Border Wall; French presidential candidate Emmanuel Macron says company must consider ethical aftermath of business deals,"Presidential candidate Emmanuel Macron on Friday said that companies such as LafargeHolcim must consider the ethical aftermath of their business deals, after the Franco-Swiss firm said it stands ready to work on the project. LafargeHolcim, the world's biggest cement producer, fell under scrutiny after Chief Executive Eric Olsen said last week in remarks published in several media outlets that the company stands ready to supply cement for the border wall. The world's second biggest cement...",1875903072,Newspapers," Dalton, Matthew
Dalton
Matthew
Matthew Dalton"," Islamic State of Iraq & the Levant--ISIS
813940"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170310000020170310ed3a007k9 , WSJOWSJO20170310000020170310ed3a007k9 , 117310 , PQ_117310_Mar102017", News," Mar 10, 2017",, English, English, n/a," New York, N.Y.","Mar 10, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1875903072?accountid=14496,, n/a," Ethics , Presidential elections , Cement industry , Schulz, Martin , Mexico , Macron, Emmanuel , Switzerland , United States--US , France , Germany",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=LafargeHolcim+Faces+Warnings+on+Providing+Cement+for+U.S.+Border+Wall%3B+French+presidential+candidate+Emmanuel+Macron+says+company+must+consider+ethical+aftermath+of+business+deals&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=&amp;au=Dalton%2C+Matthew&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"Illegal Immigrant Who Spoke at News Conference Released From Custody; Daniela Vargas, whose protection under the DACA program had lapsed, is released on an order of supervision","Ms. Vargas's attorneys filed an emergency stay of her removal last week with ICE and a habeas petition in the U.S. District Court for the Western District of Louisiana, Alexandria Division. Ms. Peterson had said she had been working with Ms. Vargas on reapplying for DACA, a program that protects young undocumented adults brought to the U.S. illegally as children from deportation and gives them work authorization. Since DACA was introduced in 2012, about 750,000...",1875932762,Newspapers," Lazo, Alejandro
Lazo
Alejandro
Alejandro Lazo"," District Court-US
922110"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170310000020170310ed3a009hp , WSJOWSJO20170310000020170310ed3a009hp , 117310 , PQ_117310_Mar102017", News," Mar 10, 2017",, English, English, n/a," New York, N.Y.","Mar 10, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1875932762?accountid=14496,, n/a," Immigration policy , Press conferences , Deportation , Attorneys , Federal court decisions , Aliens , Argentina , United States--US , Louisiana , Mississippi",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Illegal+Immigrant+Who+Spoke+at+News+Conference+Released+From+Custody%3B+Daniela+Vargas%2C+whose+protection+under+the+DACA+program+had+lapsed%2C+is+released+on+an+order+of+supervision&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-03-10&amp;volume=&amp;issue=&amp;spage=&amp;au=Lazo%2C+Alejandro&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
