Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,FindACopy,Database
"Kagan's civil rights record questioned; division among liberal groups Critics cite Harvard, Clinton-era tenures","On the eve of Elena Kagan's Senate confirmation hearings, her records on race in the Clinton White House and at Harvard Law School are producing discomfort among some leading civil rights organizations, leaving them struggling to decide whether they want her to join the Supreme Court.",521242125,Newspapers," Goldstein, Amy
Goldstein
Amy
Amy Goldstein",,," Copyright The Washington Post Company Jun 27, 2010"," 2067386411 , 52999831 , 7653 , TWP , WPXX201006271339EA07", News," Jun 27, 2010",0190-8286, English, English, A.3," Washington, D.C.","Jun 27, 2010",The Washington Post,2010,https://search.proquest.com/docview/521242125?accountid=14496,,,, A.3,," Hearings & confirmations , Race , Law schools , Congressional committees , Kagan, Elena",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Kagan%27s+civil+rights+record+questioned%3B+division+among+liberal+groups+Critics+cite+Harvard%2C+Clinton-era+tenures&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Goldstein%2C+Amy&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Citizenship: It's a birthright,"[...] Arizona state Sen. Russell Pearce, author of the new law directing police to check the immigration status of people they stop whom they suspect of being here illegally, has another idea: denying citizenship privileges to anyone born in his state to undocumented parents.",521260288,Newspapers," Chapman, Steve
Chapman
Steve
Steve Chapman",,, (Copyright 2010 by the Chicago Tribune)," 2067511541 , 52999941 , 7684 , CTRB , TRIB201006260237", Commentary," Jun 27, 2010",1085-6706, English, English, 1.25," Chicago, Ill.","Jun 27, 2010",Chicago Tribune,2010,https://search.proquest.com/docview/521260288?accountid=14496,,,, 25,," Aliens , Births , Immigration policy , Citizenship , United States--US",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=Citizenship%3A+It%27s+a+birthright%3A+The+dangerous+myths+about+%27anchor+babies%27&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=25&amp;au=Chapman%2C+Steve&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
A bad birthright idea,"The Supreme Court has regularly upheld birthright citizenship, most recently in 1982 in Plyler v. Doe, in which all nine justices agreed that the 14th Amendment applied to legal and illegal immigrants alike, and a majority ruled that Texas had to offer public school education to children of illegal immigrants.",521271536,Newspapers," Schumacher-Matos, Edward
Schumacher-Matos
Edward
Edward Schumacher-Matos",,," Copyright The Washington Post Company Jun 27, 2010"," 2067386121 , 52999831 , 7653 , TWP , WPXX201006271339EA43", Editorial," Jun 27, 2010",0190-8286, English, English, A.15," Washington, D.C.","Jun 27, 2010",The Washington Post,2010,https://search.proquest.com/docview/521271536?accountid=14496,,,, A.15,," Aliens , Immigration policy , Citizenship , United States--US",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=A+bad+birthright+idea&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Schumacher-Matos%2C+Edward&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Paid Notice: Deaths LANDER, DOROTHY (SCHULEIN)",,521280875,Newspapers,, NYTIAO,," Copyright New York Times Company Jun 27, 2010"," 2067346611 , 52993381 , 7818 , NYTIAO , NYT , 342549-20100627", Paid Death Notice," Jun 27, 2010",0362-4331, English, English, A.22," New York, N.Y.","Jun 27, 2010",New York Times,2010,https://search.proquest.com/docview/521280875?accountid=14496,,,, A.22,," Lander, Dorothy (Schulein)",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Paid+Notice%3A+Deaths+LANDER%2C+DOROTHY+%28SCHULEIN%29%3A+%5BPaid+Death+Notice%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.22&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Deafening silence on Haiti; With the stroke of a pen, Mr. Obama could strengthen a lifeline.","With no dissent, the mayors called on President Obama and Homeland Security Secretary Janet Napolitano to ""promptly"" grant entry to 55,000 Haitian visa candidates with relatives in the United States, a measure that would result in tens or hundreds of millions of dollars in annual cash transfers flowing into Haiti's gasping economy. [...] what was the response from the administration, which has pledged to do all it can to alleviate the humanitarian suffering that befell Haiti in January's earthquake?",521283932,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,," Copyright The Washington Post Company Jun 27, 2010"," 2067386421 , 52999831 , 7653 , TWP , WPXX201006271339EA14", Editorial," Jun 27, 2010",0190-8286, English, English, A.14," Washington, D.C.","Jun 27, 2010",The Washington Post,2010,https://search.proquest.com/docview/521283932?accountid=14496,,,, A.14,," Aliens , Immigration policy , Earthquakes , National security , United States--US , Obama, Barack",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Deafening+silence+on+Haiti%3B+With+the+stroke+of+a+pen%2C+Mr.+Obama+could+strengthen+a+lifeline.&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Anonymous&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The GOP's rising Latino connection,"In Nevada, former federal judge Brian Sandoval -- a George W. Bush appointee -- knocked off incumbent Gov. Jim Gibbons to win the GOP gubernatorial nomination. [...] in New Mexico -- perhaps the most illustrative proving ground for this new Latino Republican winning streak -- not only did local prosecutor Susana Martinez win a hard-fought GOP primary for governor, but businessman and former state Rep. John Sanchez easily defeated the primary competition for lieutenant governor. Arizona may temporarily be moving in the opposite direction with the state's recently passed immigration law and its anti-immigrant political fallout for the Republican Party, but the basic political calculus remains.",521284571,Newspapers," Garcia, David Alire
David
David Alire Garcia
Garcia
Alire
David Alire Garcia",, Republican Party, (Copyright (c) 2010 Los Angeles Times)," 2067311081 , 52984571 , 7683 , ANGE , LATM100024409", Commentary," Jun 27, 2010",0458-3035, English, English, A.32," Los Angeles, Calif.","Jun 27, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/521284571?accountid=14496,,,, A.32,," Candidates , Immigration policy , Aliens , Hispanics , New Mexico",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=The+GOP%27s+rising+Latino+connection&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.32&amp;au=Garcia%2C+David+Alire&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
THE REGION; Fiorina reaches out to Latinos; But her support for Arizona's anti-illegal immigrant law could pose a challenge.,"""What a dramatic change from the time period of Proposition 187, when you could simply openly attack the Latino community and there wouldn't be a political consequence to that,"" he said, referring to the 1994 initiative that sought to cut public services to illegal immigrants.",521284610,Newspapers," Goldmacher, Shane
Goldmacher
Shane
Shane Goldmacher",,, (Copyright (c) 2010 Los Angeles Times)," 2067311251 , 52984571 , 7683 , ANGE , LATM100024506", News," Jun 27, 2010",0458-3035, English, English, A.37," Los Angeles, Calif.","Jun 27, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/521284610?accountid=14496,,,, A.37,," Hispanic Americans , State laws , Political advertising , Immigration policy , Congressional elections -- California , California , Fiorina, Carleton S",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=THE+REGION%3B+Fiorina+reaches+out+to+Latinos%3B+But+her+support+for+Arizona%27s+anti-illegal+immigrant+law+could+pose+a+challenge.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.37&amp;au=Goldmacher%2C+Shane&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
ESSAY; Beyond Iranian stereotypes; Persians are gradually moving past negative depictions in the American and world pop culture.,"In 2007, ""Persepolis,"" the French animated film based on Marjane Satrapi's graphic novel about her Iranian childhood, was released to deserved acclaim. Since June 12, 2009, and the protests that followed the likely rigged reelection of Mahmoud Ahmadinejad, Iranian visibility has risen dramatically.",521288432,Newspapers," Khakpour, Porochista
Khakpour
Porochista
Porochista Khakpour",,, (Copyright (c) 2010 Los Angeles Times)," 2067311511 , 52984571 , 7683 , ANGE , LATM100024441", Feature," Jun 27, 2010",0458-3035, English, English, D.6," Los Angeles, Calif.","Jun 27, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/521288432?accountid=14496,,,, D.6,," Motion pictures , Graphic novels , Popular culture , Stereotypes , Asians",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=ESSAY%3B+Beyond+Iranian+stereotypes%3B+Persians+are+gradually+moving+past+negative+depictions+in+the+American+and+world+pop+culture.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=D.6&amp;au=Khakpour%2C+Porochista&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"American power, waxing on and off","The 1984 version of ""The Karate Kid"" owes its iconic status, in large part, to its timeless themes of teenage anxiety, courage and moral redemption -- not to anything it might tell us about the United States' role in the world. Japan -- diminished on the world stage by a lost decade of economic stagnation, an aging and contracting population, a once-mighty yen facing marginalization -- has disappeared from the story.",521288789,Newspapers," Schneider, Howard
Schneider
Howard
Howard Schneider",,," Copyright The Washington Post Company Jun 27, 2010"," 2067389941 , 52999831 , 7653 , TWP , WPXX201006271339EA90", Commentary," Jun 27, 2010",0190-8286, English, English, B.3," Washington, D.C.","Jun 27, 2010",The Washington Post,2010,https://search.proquest.com/docview/521288789?accountid=14496,,,, B.3,," World War II , War , Motion pictures , American history , United States--US",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=American+power%2C+waxing+on+and+off&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=B.3&amp;au=Schneider%2C+Howard&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
DEATHS IN THE NEWS,,521294251,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,, (Copyright 2010 by the Chicago Tribune)," 2067398701 , 52999941 , 7684 , CTRB , TRIB201006260302", Obituary," Jun 27, 2010",1085-6706, English, English, 32," Chicago, Ill.","Jun 27, 2010",Chicago Tribune,2010,https://search.proquest.com/docview/521294251?accountid=14496,,,, 32,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=DEATHS+IN+THE+NEWS&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=32&amp;au=Anonymous&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
