Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
The administration's cruelest act,,2037321489,Newspapers,,," Copyright WP Company LLC d/b/a The Washington Post May 12, 2018"," WPXXWP20180512Theadministrationscruelestacta6baa494 , WPXXWP20180512Theadministrationscruelestacta6baa494 , 7653 , PQ_7653_May122018______", Editorial," May 12, 2018",0190-8286, English, English,," Washington, D.C.","May 12, 2018",The Washington Post,2018,https://search.proquest.com/docview/2037321489?accountid=14496, A.16," Immigration , Mexico , United States--US , Sessions, Jeff",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+administration%27s+cruelest+act&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-05-12&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"In Mexico, a 'defining moment' for U.S. relations as frustration grows",,2037323606,Newspapers," Partlow, Joshua
Partlow
Joshua
Joshua Partlow"," Senate
921120"," Copyright WP Company LLC d/b/a The Washington Post May 12, 2018"," WPXXWP20180512InMexicoadefiningmomentforUSrelationsasf57450340 , WPXXWP20180512InMexicoadefiningmomentforUSrelationsasf57450340 , 7653 , PQ_7653_May122018______", News," May 12, 2018",0190-8286, English, English,," Washington, D.C.","May 12, 2018",The Washington Post,2018,https://search.proquest.com/docview/2037323606?accountid=14496, A.10," Local elections , Military reserves , Cooperation , Politics , Diplomatic & consular services , Presidential communications and messages , International relations , Meetings , Armed forces , Trump, Donald J , Mexico , Pompeo, Mike , United States--US , Videgaray, Luis",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=In+Mexico%2C+a+%27defining+moment%27+for+U.S.+relations+as+frustration+grows&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-05-12&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Partlow%2C+Joshua&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Survivors Recount One of Myanmar's Biggest Massacres --- Security forces went door to door, shooting anyone who emerged, including children; 'we'll turn your village into soil'",,2037343733,Newspapers," Emont, Jon
Jon
Jon Emont
Emont
Jon Emont; Niharika Mandhana , Mandhana, Niharika
Niharika
Niharika Mandhana
Mandhana"," Physicians for Human Rights
813311 , Arakan Rohingya Salvation Army
813940 , Amnesty International
813311"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020180512ee5c0002q , DWJNJ000000020180512ee5c0002q , 7510 , PQ_7510_May122018______", News," May 12, 2018",0099-9660, English, English, A.1," New York, N.Y.","May 12, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2037343733?accountid=14496, A.1," Muslims , Rape , Farms , Citizenship , Buddhists , Rohingya , Criminal investigations , Militancy , Sex crimes , Military strategy , Human rights , Massacres , Military personnel , Atrocities , Bangladesh , Myanmar (Burma) , Chut Pyin Myanmar",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Survivors+Recount+One+of+Myanmar%27s+Biggest+Massacres+---+Security+forces+went+door+to+door%2C+shooting+anyone+who+emerged%2C+including+children%3B+%27we%27ll+turn+your+village+into+soil%27&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-05-12&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Emont%2C+Jon%3BMandhana%2C+Niharika&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. News: Tighter Oversight On Visas Is Sought,,2037345444,Newspapers," Meckler, Laura
Laura
Laura Meckler
Meckler
Laura Meckler"," Department of Homeland Security
922120 , US Citizenship & Immigration Services
928120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020180512ee5c0002m , DWJNJ000000020180512ee5c0002m , 7510 , PQ_7510_May122018______", News," May 12, 2018",0099-9660, English, English, A.4," New York, N.Y.","May 12, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2037345444?accountid=14496, A.4," Immigration policy , Foreign students , Passports & visas , Trump, Donald J , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Tighter+Oversight+On+Visas+Is+Sought&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-05-12&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Meckler%2C+Laura&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
OFF DUTY --- Adventure &amp;amp; Travel: A Well-Read Whirl Around Town --- The best cheat sheets and time-saving apps for urban sightseers on bicycles,,2037348564,Newspapers," Farley, David
David
David Farley
Farley
David Farley",," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020180512ee5c0000b , DWJNJ000000020180512ee5c0000b , 7510 , PQ_7510_May122018______"," Opinions , Commentary"," May 12, 2018",0099-9660, English, English, D.8," New York, N.Y.","May 12, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2037348564?accountid=14496, D.8," Museums , Cities , Bicycling , Tourism , Pittsburgh Pennsylvania , English Channel , Chicago Illinois , Los Angeles California , United States--US , New York , France , San Francisco California",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=OFF+DUTY+---+Adventure+%26amp%3Bamp%3B+Travel%3A+A+Well-Read+Whirl+Around+Town+---+The+best+cheat+sheets+and+time-saving+apps+for+urban+sightseers+on+bicycles&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-05-12&amp;volume=&amp;issue=&amp;spage=D.8&amp;au=Farley%2C+David&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Malaysia's Ex-Leader Najib Razak Quits Party Post After Election Loss; The former prime minister also agreed to abide by a travel ban, as his successor worked to assemble a cabinet",,2037376886,Newspapers," Hookway, James
James
James Hookway
Hookway
James Hookway; Yantoultra Ngui , Ngui, Yantoultra
Yantoultra
Yantoultra Ngui
Ngui"," 1Malaysia Development Bhd
928120 , United Malays National Organization
813940 , Wall Street Journal
511110"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20180512000020180512ee5c000dx , WSJOWSJO20180512000020180512ee5c000dx , 117310 , PQ_117310_May122018______", News," May 12, 2018",, English, English, n/a," New York, N.Y.","May 12, 2018",Wall Street Journal (Online),2018,https://search.proquest.com/docview/2037376886?accountid=14496, n/a," Prime ministers , Malaysia , United States--US , Mohammad, Mahathir , Razak, Najib Abdul , Rosmah Mansor",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Malaysia%27s+Ex-Leader+Najib+Razak+Quits+Party+Post+After+Election+Loss%3B+The+former+prime+minister+also+agreed+to+abide+by+a+travel+ban%2C+as+his+successor+worked+to+assemble+a+cabinet&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2018-05-12&amp;volume=&amp;issue=&amp;spage=&amp;au=Hookway%2C+James%3BNgui%2C+Yantoultra&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Crisis pours into Colombia across a border bridge; The desperate exodus out of Venezuela inundates a frontier city offering help.,,2037915399,Newspapers," Kraul, Chris
Chris
Chris Kraul
Kraul
Chris Kraul",," Copyright Los Angeles Times May 13, 2018"," 7683 , PQ_7683_May132018 , LATMLATM2018051311063 , LATMLATM2018051311063", News," May 13, 2018",0458-3035, English, English, A.1," Los Angeles, Calif.","May 13, 2018",Los Angeles Times,2018,https://search.proquest.com/docview/2037915399?accountid=14496, A.1," Measles , Hospitals , Emergency medical care , Economic crisis , United States--US , Venezuela , Bolivar, Simon (1783-1830) , Colombia"," COLOMBIA , VENEZUELA , IMMIGRANTS , ECONOMY , ILLNESS , HOSPITALS , OVERCROWDING",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Crisis+pours+into+Colombia+across+a+border+bridge%3B+The+desperate+exodus+out+of+Venezuela+inundates+a+frontier+city+offering+help.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2018-05-13&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Kraul%2C+Chris&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"CITY &amp;amp; STATE; Immigrant mothers rally to demand protections; Hard-line immigration policies force families to face possibility of splitting, activists say.",,2037915417,Newspapers," Castillo, Andrea
Andrea
Andrea Castillo
Castillo
Andrea Castillo"," Central American Resource Center
813319 , Los Angeles Times
511110 , Migration Policy Institute
813940"," Copyright Los Angeles Times May 13, 2018"," 7683 , PQ_7683_May132018 , LATMLATM2018051311039 , LATMLATM2018051311039", News," May 13, 2018",0458-3035, English, English, B.4," Los Angeles, Calif.","May 13, 2018",Los Angeles Times,2018,https://search.proquest.com/docview/2037915417?accountid=14496, B.4," Immigration policy , Families & family life , Nicaragua , Trump, Donald J , Mexico , Honduras , United States--US , MacArthur Park , Los Angeles County California , Los Angeles California , Haiti , El Salvador"," IMMIGRANTS , MOTHER'S DAY , DEPORTATION , FAMILIES , DEMONSTRATIONS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=CITY+%26amp%3Bamp%3B+STATE%3B+Immigrant+mothers+rally+to+demand+protections%3B+Hard-line+immigration+policies+force+families+to+face+possibility+of+splitting%2C+activists+say.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2018-05-13&amp;volume=&amp;issue=&amp;spage=B.4&amp;au=Castillo%2C+Andrea&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
DACA holders slow to renew status; Anxiety amid court fights and Trump's rancor keeps many from reapplying.,,2037915457,Newspapers," Tanfani, Joseph
Joseph
Joseph Tanfani
Tanfani
Joseph Tanfani"," US Citizenship & Immigration Services
928120 , Brandeis University
611310 , Center for American Progress
541720
813940 , Supreme Court-US
922110 , Republican Party
813940 , Congress
921120"," Copyright Los Angeles Times May 13, 2018"," 7683 , PQ_7683_May132018 , LATMLATM2018051311061 , LATMLATM2018051311061", News," May 13, 2018",0458-3035, English, English, A.1," Los Angeles, Calif.","May 13, 2018",Los Angeles Times,2018,https://search.proquest.com/docview/2037915457?accountid=14496, A.1," Citizenship , Presidents , Anxieties , Immigration , Federal court decisions , Judges & magistrates , Trump, Donald J , Southern California , Cleveland Ohio , San Francisco California , Obama, Barack , Texas , United States--US , New York , Venezuela , Guatemala , Ohio , Sessions, Jeff , Washington DC , California , Los Angeles California"," DEFERRED ACTION FOR CHILDHOOD ARRIVALS (GOVERNMENT PROGRAM) , IMMIGRANTS , ENROLLMENT , DEPORTATION",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=DACA+holders+slow+to+renew+status%3B+Anxiety+amid+court+fights+and+Trump%27s+rancor+keeps+many+from+reapplying.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2018-05-13&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Tanfani%2C+Joseph&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Untapped riches due south; Beyond Mexico lies a thriving Latin America cinema that's gone largely unexplored in the U.S.,,2037915464,Newspapers," Anderson, John
John
John Anderson
Anderson
John Anderson"," Strand Releasing
512120"," Copyright Los Angeles Times May 13, 2018"," 7683 , PQ_7683_May132018 , LATMLATM2018051311018 , LATMLATM2018051311018", General Information," May 13, 2018",0458-3035, English, English, E.5," Los Angeles, Calif.","May 13, 2018",Los Angeles Times,2018,https://search.proquest.com/docview/2037915464?accountid=14496, E.5," Motion picture directors & producers , Funding , Colonialism , Immigration , Festivals , Photographers , Bolivia , Israel , North America , Latin America , Gutierrez, Carlos , Argentina , Gonzalez Inarritu, Alejandro , Brazil , Ecuador , Uruguay , Southern Hemisphere , Europe , Mexico , United States--US , New York , Lake Titicaca , Cuaron, Alfonso , del Toro, Guillermo , Chile , Waters, John (director) , Colombia"," LATIN AMERICA , MOVIES",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Untapped+riches+due+south%3B+Beyond+Mexico+lies+a+thriving+Latin+America+cinema+that%27s+gone+largely+unexplored+in+the+U.S.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2018-05-13&amp;volume=&amp;issue=&amp;spage=E.5&amp;au=Anderson%2C+John&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
