Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
CAMPAIGN '08: RACE FOR THE WHITE HOUSE; A lack of (ballot) initiative; The GOP's strategy of using state measures to draw conservatives to the polls has faltered.,"CAMPAIGN '08: RACE FOR THE WHITE HOUSE; A lack of (ballot) initiative; The GOP's strategy of using state measures to draw conservatives to the polls has faltered. In 2004, Republicans managed to put measures on the ballot in 11 states to ban same-sex marriage, a red-hot family values issue that boosted conservative turnout and played a role in President Bush's reelection.",422226298,Newspapers," Morain, Dan
Morain
Dan
Dan Morain , Riccardi, Nicholas
Riccardi
Nicholas
Nicholas Riccardi",," Republican Party
813940", (Copyright (c) 2008 Los Angeles Times)," 1519239751 , 39872741 , 7683 , ANGE , LATM080036991", News," Jul 29, 2008",0458-3035, English, English, A.15," Los Angeles, Calif.","Jul 29, 2008",Los Angeles Times,2008,https://search.proquest.com/docview/422226298?accountid=14496,,,, A.15,," Same sex marriage , Political campaigns , Initiatives , Conservatism , Presidential elections , Voter behavior , California",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=CAMPAIGN+%2708%3A+RACE+FOR+THE+WHITE+HOUSE%3B+A+lack+of+%28ballot%29+initiative%3B+The+GOP%27s+strategy+of+using+state+measures+to+draw+conservatives+to+the+polls+has+faltered.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Morain%2C+Dan%3BRiccardi%2C+Nicholas&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
National Briefing / TEXAS; Agents' prison terms upheld,,422227830,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,, (Copyright (c) 2008 Los Angeles Times)," 1519239611 , 39872741 , 7683 , ANGE , LATM080036982", News," Jul 29, 2008",0458-3035, English, English, A.9," Los Angeles, Calif.","Jul 29, 2008",Los Angeles Times,2008,https://search.proquest.com/docview/422227830?accountid=14496,,,, A.9,,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=National+Briefing+%2F+TEXAS%3B+Agents%27+prison+terms+upheld&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=A.9&amp;au=Anonymous&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"OBITUARIES / Michael J. Daly, 1924 - 2008; WWII hero earned Medal of Honor for protecting his men",,422360544,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,, (Copyright (c) 2008 Los Angeles Times)," 1519239921 , 39872741 , 7683 , ANGE , LATM080036949", News," Jul 29, 2008",0458-3035, English, English, B.8," Los Angeles, Calif.","Jul 29, 2008",Los Angeles Times,2008,https://search.proquest.com/docview/422360544?accountid=14496,,,, B.8,,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=OBITUARIES+%2F+Michael+J.+Daly%2C+1924+-+2008%3B+WWII+hero+earned+Medal+of+Honor+for+protecting+his+men&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=B.8&amp;au=Anonymous&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The Biggest Issue,Rising gas prices are bound to dominate the election because voters are slapped in the face with them every time they visit the pump.,433880557,Newspapers," Brooks, David
Brooks
David
David Brooks", NYTIAO,," Copyright New York Times Company Jul 29, 2008"," 1519386941 , 39875771 , 7818 , NYTIAO , NYT , 529940-20080729", Commentary," Jul 29, 2008",0362-4331, English, English, A.19," New York, N.Y.","Jul 29, 2008",New York Times,2008,https://search.proquest.com/docview/433880557?accountid=14496,,,, A.19,," Secondary schools , Academic achievement , Education , Human capital , Economic growth , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=The+Biggest+Issue%3A+%5BOp-Ed%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Brooks%2C+David&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Woman Charged With Web Drug Sales,"Human growth hormone and hyaluronic acid are sold by various companies in the U.S. ""The illegal sale of health and pharmaceutical products over the Internet poses a serious risk,"" Robert Schoch, special agent in charge of the Immigration and Customs Enforcement Office of Investigations in Los Angeles, wrote in a release.",399027749,Newspapers," Rundle, Rhonda L
Rundle
L
Rhonda
Rhonda L. Rundle",,," (c) 2008 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 1521069501 , 39886071 , 7510 , WSJ , WSJJ20080730000133", News," Jul 30, 2008",0099-9660, English, English, A.12," New York, N.Y.","Jul 30, 2008",Wall Street Journal,2008,https://search.proquest.com/docview/399027749?accountid=14496," 9190 United States , 4300 Law , 8641 Pharmaceuticals industry"," 9190 United States , 4300 Law , 8641 Pharmaceuticals industry"," 9190 United States , 4300 Law , 8641 Pharmaceuticals industry", A.12," 9190 United States , 4300 Law , 8641 Pharmaceuticals industry"," Criminal investigations , Indictments , Electronic commerce , Drugs , Los Angeles California , Hunter, Rana J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Woman+Charged+With+Web+Drug+Sales&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2008-07-30&amp;volume=&amp;issue=&amp;spage=A.12&amp;au=Rundle%2C+Rhonda+L&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The Evening Wrap: On Different Rides,"""The company's lower than expected revenue growth was driven by continued slow traffic trends in the U.S., which resulted in a mid-single-digit decline in U.S. comparable store sales, and was a slight deterioration from the second quarter,"" Starbucks said in its release. Blue Chips Advance The Dow Jones Industrial Average surged 186.13 points, or 1.6%, to 11583.69, ending near the day's highest levels as energy stocks got a boost from a surge in oil prices and financial stocks rallied.",399028119,Newspapers,,," Starbucks Corp
722213"," (c) 2008 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 1522173071 , 39886071 , 7510 , WSJ , WSJJ20080730000263", News," Jul 30, 2008",0099-9660, English, English, 0," New York, N.Y.","Jul 30, 2008",Wall Street Journal,2008,https://search.proquest.com/docview/399028119?accountid=14496,,,, n/a,," Dow Jones averages , Financial performance , Stock prices , Prime ministers , Net losses , Foreclosure , Expansion , Business growth , Appointments & personnel changes , Advertising rates , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Evening+Wrap%3A+On+Different+Rides%3A+Online+edition&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2008-07-30&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"From Gitmo to Miranda, With Love","Some of the lead attorneys pushing for detainee rights participated in the event, which began with organizers boasting about the diversity of the event's participating schools as exemplified by the American University of Paris, the American University in Cairo, the U.N. University for Peace in Costa Rica, Princeton Theological Seminary, and Parsons School of Design in New York City.",399029298,Newspapers," Burlingame, Debra
Burlingame
Debra
Debra Burlingame",," Guantanamo Bay Naval Base
928110"," (c) 2008 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 1521069381 , 39886071 , 7510 , WSJ , WSJJ20080730000100", Commentary," Jul 30, 2008",0099-9660, English, English, A.15," New York, N.Y.","Jul 30, 2008",Wall Street Journal,2008,https://search.proquest.com/docview/399029298?accountid=14496,,,, A.15,," Poetry , Terrorism , Supreme Court decisions , Prisoners , Habeas corpus , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=From+Gitmo+to+Miranda%2C+With+Love&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2008-07-30&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Burlingame%2C+Debra&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
World News: World Watch,"Immigration Minister Chris Evans said a policy that locks away asylum seekers indefinitely while they go through the often complicated and time-consuming process of applying for refugee status had caused ""enormous damage"" to Australia's international reputation and was no longer acceptable. ---",399029788,Newspapers,,,," (c) 2008 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 1521082791 , 39886071 , 7510 , WSJ , WSJJ20080730000120", News," Jul 30, 2008",0099-9660, English, English, A.11," New York, N.Y.","Jul 30, 2008",Wall Street Journal,2008,https://search.proquest.com/docview/399029788?accountid=14496,,,, A.11,," Politics , Criminal investigations , Truces & cease fires , Economic statistics , Inflation , Ibrahim, Anwar",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+World+Watch&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2008-07-30&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Marine Raised Flag at Iwo Jima And Profile of Immigrants' Service,"The 1945 photograph of six U.S. servicemen raising the flag over Iwo Jima won a Pulitzer Prize, served as the model for the Marine Corps War Memorial in Arlington County and has become one of the most enduring images of World War II.",410272851,Newspapers," Ben Hubbard - Washington Post Staff Writer
Ben Hubbard - Washington Post Staff Writer",,," Copyright The Washington Post Company Jul 30, 2008"," 1521063141 , 39886031 , 7653 , TWP , WPXX200807300DFEE1FF", News," Jul 30, 2008",0190-8286, English, English, B.3," Washington, D.C.","Jul 30, 2008",The Washington Post,2008,https://search.proquest.com/docview/410272851?accountid=14496,,,, B.3,," Rites & ceremonies , Military history , Military personnel , Citizenship , Aliens , World War II",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Marine+Raised+Flag+at+Iwo+Jima+And+Profile+of+Immigrants%27+Service&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-07-30&amp;volume=&amp;issue=&amp;spage=B.3&amp;au=Ben+Hubbard+-+Washington+Post+Staff+Writer&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"TIM RUTTEN; The putsch that imperiled America; In an administration in which ideology trumped justice, some said no.",A report released Tuesday by the Justice Department has documented the Bush administration's unprecedented -- and illegal -- effort to politicize the ranks of the agency's prosecutors and civil service employees with conservatives and true believers in the religious right's agenda.,422221171,Newspapers," Rutten, Tim
Rutten
Tim
Tim Rutten",,, (Copyright (c) 2008 Los Angeles Times)," 1521022931 , 39884761 , 7683 , ANGE , LATM080037079", Commentary," Jul 30, 2008",0458-3035, English, English, A.19," Los Angeles, Calif.","Jul 30, 2008",Los Angeles Times,2008,https://search.proquest.com/docview/422221171?accountid=14496,,,, A.19,," Torture , Same sex marriage , Law , Terrorism , Politics , Public policy , United States--US , Bush, George W",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=TIM+RUTTEN%3B+The+putsch+that+imperiled+America%3B+In+an+administration+in+which+ideology+trumped+justice%2C+some+said+no.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2008-07-30&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Rutten%2C+Tim&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
