Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Facebook's Mark Zuckerberg Opposes Donald Trump's Immigration Action; Says focus should be on those who 'actually pose a threat',,1862201312,Newspapers," Seetharaman, Deepa
Seetharaman
Deepa
Deepa Seetharaman"," Facebook Inc
518210
519130"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170128000020170128ed1s000dx , WSJOWSJO20170128000020170128ed1s000dx , 117310 , PQ_117310_Jan282017", News," Jan 28, 2017",, English, English, n/a," New York, N.Y.","Jan 28, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1862201312?accountid=14496, n/a," Social networks , Political campaigns , Presidents , Immigration , China , Poland , Chan, Priscilla , United States--US , Austria , Germany , Vietnam",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Facebook%27s+Mark+Zuckerberg+Opposes+Donald+Trump%27s+Immigration+Action%3B+Says+focus+should+be+on+those+who+%27actually+pose+a+threat%27&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=&amp;au=Seetharaman%2C+Deepa&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"Trump's Foreign-Policy Flurry Sets Allies on Edge; President schedules weekend phone calls with Russian, German and French leaders",,1862207987,Newspapers," Lee, Carol E
Lee
E
Carol
Carol E. Lee; Anton Troianovski; Peter Nicholas , Troianovski, Anton
Troianovski
Anton , Nicholas, Peter
Nicholas
Peter"," North Atlantic Treaty Organization--NATO
928120"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170128000020170128ed1s000m9 , WSJOWSJO20170128000020170128ed1s000m9 , 117310 , PQ_117310_Jan282017", News," Jan 28, 2017",, English, English, n/a," New York, N.Y.","Jan 28, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1862207987?accountid=14496, n/a," Political campaigns , Presidents , Free trade , Sanctions , Foreign policy , Mexico , Russia , United States--US , France , Germany , Europe",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Trump%27s+Foreign-Policy+Flurry+Sets+Allies+on+Edge%3B+President+schedules+weekend+phone+calls+with+Russian%2C+German+and+French+leaders&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=&amp;au=Lee%2C+Carol+E%3BTroianovski%2C+Anton%3BNicholas%2C+Peter&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"Donald Trump Signs Actions Banning Syrians, Suspending Refugee Program; Measure is designed to keep 'radical Islamic terrorists' out of U.S.",,1862212895,Newspapers," Paletta, Damian
Damian
Damian Paletta
Paletta
Damian Paletta; Paul Sonne; Felicia Schwartz , Sonne, Paul
Paul
Paul Sonne
Sonne , Schwartz, Felicia
Felicia
Felicia Schwartz
Schwartz"," Department of Defense
928110 , Facebook Inc
518210
519130 , Republican Party
813940 , Democratic Party
813940"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170128000020170127ed1r00avp , WSJOWSJO20170128000020170127ed1r00avp , 117310 , PQ_117310_Jan282017", News," Jan 28, 2017",, English, English, n/a," New York, N.Y.","Jan 28, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1862212895?accountid=14496, n/a," Government agencies , Refugees , Terrorism , Muslims , Counterterrorism , International relations , Political campaigns , Presidents , Immigration , Sudan , Somalia , Middle East , United States--US , Libya , Iraq , Zuckerberg, Mark , Iran , Yemen , Bennet, Michael , Syria , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Donald+Trump+Signs+Actions+Banning+Syrians%2C+Suspending+Refugee+Program%3B+Measure+is+designed+to+keep+%27radical+Islamic+terrorists%27+out+of+U.S.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=&amp;au=Paletta%2C+Damian%3BSonne%2C+Paul%3BSchwartz%2C+Felicia&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"Texas Border Leaders Discuss How to Approach Trump on Security, Trade; Previously scheduled meeting took on new urgency after President Trump's executive order this week to speed construction of a wall along Mexican border",,1862213120,Newspapers," Frosch, Dan
Frosch
Dan
Dan Frosch; Dudley Althaus , Althaus, Dudley
Althaus
Dudley",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170128000020170128ed1s000p1 , WSJOWSJO20170128000020170128ed1s000p1 , 117310 , PQ_117310_Jan282017", News," Jan 28, 2017",, English, English, n/a," New York, N.Y.","Jan 28, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1862213120?accountid=14496, n/a," North American Free Trade Agreement , Presidents , Border security , Texas , Mexico , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Texas+Border+Leaders+Discuss+How+to+Approach+Trump+on+Security%2C+Trade%3B+Previously+scheduled+meeting+took+on+new+urgency+after+President+Trump%27s+executive+order+this+week+to+speed+construction+of+a+wall+along+Mexican+border&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=&amp;au=Frosch%2C+Dan%3BAlthaus%2C+Dudley&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Advocacy Groups Condemn U.S. Suspension of Refugee Program; U.S. formally admits the most refugees of any country in the world,,1862216367,Newspapers," Jordan, Miriam
Jordan
Miriam
Miriam Jordan"," International Rescue Committee
624190
813410"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170128000020170128ed1s000um , WSJOWSJO20170128000020170128ed1s000um , 117310 , PQ_117310_Jan282017", News," Jan 28, 2017",, English, English, n/a," New York, N.Y.","Jan 28, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1862216367?accountid=14496, n/a," Refugees , Holocaust , Displaced persons , Muslims , Fiscal years , Islamism , Political campaigns , Presidents , Nazi era , Religious persecution , Leadership , Immigration , Sudan , Trump, Donald J , Somalia , United States--US , Libya , Iraq , Iran , Yemen , Syria",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Advocacy+Groups+Condemn+U.S.+Suspension+of+Refugee+Program%3B+U.S.+formally+admits+the+most+refugees+of+any+country+in+the+world&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=&amp;au=Jordan%2C+Miriam&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
REVIEW --- Books: The Great Youth Revolt,"  Bop Apocalypse By Martin Torgoff Da Capo, 412 pages, $25.99 One night in 1943, more than two decades before Dylan and the Beatles shared a joint at the Delmonico Hotel, a 21-year-old Columbia student named Jack Kerouac got high with the saxophonist Lester Young at Minton's Playhouse, the Harlem nightclub where bebop was born. [...]to say that marijuana made jazz is like saying that cocaine repealed the Glass-Steagall Act, or that red wine caused the French Revolution.",1862230723,Newspapers," Green, Dominic
Green
Dominic
Dominic Green , Green, Dominic
Green
Dominic
Dominic Green",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4309408631 , 110987602 , 7510 , WSJ , DWJNJ000000020170128ed1s0000o", Book Review," Jan 28, 2017",0099-9660, English, English, C.8," New York, N.Y.","Jan 28, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1862230723?accountid=14496, C.8," Books , Torgoff, Martin , Kerouac, Jack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=REVIEW+---+Books%3A+The+Great+Youth+Revolt&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=C.8&amp;au=Green%2C+Dominic&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
REVIEW --- Books: A Greatness in the Geography,"  Geography, Mr. Kaplan explains, has blessed the Midwest and Western states with a richness of forests and agricultural lands and a cornucopia of iron, coal, gold and hydrocarbon deposits, not to mention ""more miles of navigable inland waterways than the rest of the world combined.""",1862230736,Newspapers," Herman, Arthur
Herman
Arthur
Arthur Herman , Herman, Arthur
Herman
Arthur
Arthur Herman",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4309408611 , 110987602 , 7510 , WSJ , DWJNJ000000020170128ed1s0000m", Book Review," Jan 28, 2017",0099-9660, English, English, C.7," New York, N.Y.","Jan 28, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1862230736?accountid=14496, C.7," Books , Kaplan, Robert D",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=REVIEW+---+Books%3A+A+Greatness+in+the+Geography&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=C.7&amp;au=Herman%2C+Arthur&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. News: Immigration-Policy Battle Escalates in Texas,"  The battle shows no signs of abating after Mr. Trump ordered the restoration of the ""Secure Communities"" program, which directs local law enforcement to detain undocumented immigrants on behalf of federal agents.",1862230915,Newspapers," Frosch, Dan
Frosch
Dan
Dan Frosch , Frosch, Dan
Frosch
Dan
Dan Frosch",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4309411861 , 110987602 , 7510 , WSJ , DWJNJ000000020170128ed1s0002n", News," Jan 28, 2017",0099-9660, English, English, A.4," New York, N.Y.","Jan 28, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1862230915?accountid=14496, A.4," Aliens , Immigration policy , Texas , Hernandez, Sally , Abbott, Greg",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Immigration-Policy+Battle+Escalates+in+Texas&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Frosch%2C+Dan&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump's Week One: Off Script --- President seems to be running his administration much like he ran his company and campaign,"  Mr. Roberts said he was seeking answers for farmers worried about the impact of administration policy on their export markets, but can't sort out the chain of command between a new White House trade council, the U.S. trade representative and the White House's international negotiator.",1862230921,Newspapers," Bender, Michael C
Bender
C
Michael
Michael C. Bender; Carol E. Lee; Kristina Peterson , Lee, Carol E
Lee
E
Carol , Peterson, Kristina
Peterson
Kristina , Bender, Michael C
Bender
C
Michael
Michael C. Bender , Lee, Carol E
Lee
E
Carol
Carol E. Lee , Peterson, Kristina
Peterson
Kristina
Kristina Peterson",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4309411821 , 110987602 , 7510 , WSJ , DWJNJ000000020170128ed1s0002j", News," Jan 28, 2017",0099-9660, English, English, A.1," New York, N.Y.","Jan 28, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1862230921?accountid=14496, A.1," Political leadership , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Trump%27s+Week+One%3A+Off+Script+---+President+seems+to+be+running+his+administration+much+like+he+ran+his+company+and+campaign&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Bender%2C+Michael+C%3BLee%2C+Carol+E%3BPeterson%2C+Kristina&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Women's Marches: Solidarity and Exclusion,"  Jyl Leininger Seattle --- This wasn't a women's march -- it was a progressive women's march. Since a main theme of the march was abortion rights, sponsorship by conservative groups with different views were excluded.",1862230922,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous , Anonymous
Anonymous
Anonymous
Anonymous",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4309411501 , 110987602 , 7510 , WSJ , DWJNJ000000020170128ed1s00020", News," Jan 28, 2017",0099-9660, English, English, A.10," New York, N.Y.","Jan 28, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1862230922?accountid=14496, A.10," Political campaigns , Women , Kelly, Megyn , Fiorina, Carly",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Women%27s+Marches%3A+Solidarity+and+Exclusion&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-01-28&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
