Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
'You can do this and you do measure up',,1930357054,Newspapers," McLaren, Mandy
McLaren
Mandy
Mandy McLaren"," National Aeronautics & Space Administration--NASA
927110 , Towson University
611310"," Copyright WP Company LLC d/b/a The Washington Post Aug 21, 2017"," WPXXWP20170821Youcandothisandyoudomeasureup2433a812 , WPXXWP20170821Youcandothisandyoudomeasureup2433a812 , 7653 , PQ_7653_Aug212017", News," Aug 21, 2017",0190-8286, English, English,," Washington, D.C.","Aug 21, 2017",The Washington Post,2017,https://search.proquest.com/docview/1930357054?accountid=14496, B.1," Tuition , Higher education , Preschool education , Secondary schools , Secondary school students , Student financial aid , Maryland , Dunbar, Paul Laurence (1872-1906)",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=%27You+can+do+this+and+you+do+measure+up%27&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-08-21&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=McLaren%2C+Mandy&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Trump and the CEOS: A Soured Partnership --- Cautious optimism gave way to break, despite common policy ground","[...]Uber Technologies Inc. CEO Travis Kalanick, initially a supporter of Silicon Valley engaging the president, was the first to quit a White House council in early February, following employee pressure and a social-media backlash relating to Uber's response to the president's proposed travel ban. Apple Inc. executives chose to bite their tongues when in July the president incorrectly portrayed the company's plans to build plants in the U.S. Similarly, Merck &amp; Co. chief Kenneth Frazier and Walt Disney Co. CEO Robert Iger chose to overlook issues where they and the White House differed so they could have a voice in deliberations, according to industry executives and Mr. Iger. Drug company executives such as Johnson &amp; Johnson CEO Alex Gorsky and Merck's Mr. Frazier worried not engaging the president -- who had criticized drugmakers as ""getting away with murder"" -- might make it easier for his administration to give Medicare the power to negotiate and lower drug prices, according to industry officials. In recent weeks, IBM's Ms. Rometty and Boston Consulting Group head Rich Lesser asked Mr. Schwarzman, the head of the strategy advisory council, about the future of the group and its effectiveness, given the pressure they were under from employees and the public, said people familiar with the group.",1930365065,Newspapers," Fuhrmans, Vanessa
Fuhrmans
Vanessa
Vanessa Fuhrmans; Joann S. Lublin; Emily Glazer , Lublin, Joann S
Lublin
S
Joann , Glazer, Emily
Glazer
Emily"," Twitter Inc
519130"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020170821ed8l0001l , DWJNJ000000020170821ed8l0001l , 7510 , PQ_7510_Aug212017", News," Aug 21, 2017",0099-9660, English, English, A.1," New York, N.Y.","Aug 21, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1930365065?accountid=14496, A.1," Business government relations , Chief executive officers , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Trump+and+the+CEOS%3A+A+Soured+Partnership+---+Cautious+optimism+gave+way+to+break%2C+despite+common+policy+ground&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-08-21&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Fuhrmans%2C+Vanessa%3BLublin%2C+Joann+S%3BGlazer%2C+Emily&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Texas Political Prosecution,,1930365116,Newspapers,," Republican Party
813940"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020170821ed8l00004 , DWJNJ000000020170821ed8l00004 , 7510 , PQ_7510_Aug212017"," Opinions , Editorial"," Aug 21, 2017",0099-9660, English, English, A.16," New York, N.Y.","Aug 21, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1930365116?accountid=14496, A.16," Editorials , Trials , State court decisions , Fraud , Texas , Paxton, Ken",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Texas+Political+Prosecution&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-08-21&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
European Populists Who Aped Brexit and Trump Rethink Their Approach; Many officials think their attempt to associate with the U.K. and the U.S. undermined what was supposed to be a banner year,,1930493253,Newspapers," Meichtry, Stacy
Meichtry
Stacy
Stacy Meichtry; Anton Troianovski; Marcus Walker , Troianovski, Anton
Troianovski
Anton , Walker, Marcus
Walker
Marcus",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170821000020170821ed8l003e9 , WSJOWSJO20170821000020170821ed8l003e9 , 117310 , PQ_117310_Aug212017", News," Aug 21, 2017",, English, English, n/a," New York, N.Y.","Aug 21, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1930493253?accountid=14496, n/a," Polls & surveys , Presidential elections , Candidates , Leadership , United States--US , France , United Kingdom--UK , Europe",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=European+Populists+Who+Aped+Brexit+and+Trump+Rethink+Their+Approach%3B+Many+officials+think+their+attempt+to+associate+with+the+U.K.+and+the+U.S.+undermined+what+was+supposed+to+be+a+banner+year&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-08-21&amp;volume=&amp;issue=&amp;spage=&amp;au=Meichtry%2C+Stacy%3BTroianovski%2C+Anton%3BWalker%2C+Marcus&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
'Holiday Destination' by Nadine Shah Review: Rock and Pop for the Modern World; The British vocalist-composer's third album draws on current events and is her best yet.,,1930559017,Newspapers," Fusilli, Jim
Fusilli
Jim
Jim Fusilli"," Depeche Mode
711130 , Yes Men
813319"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170821000020170821ed8l005bp , WSJOWSJO20170821000020170821ed8l005bp , 117310 , PQ_117310_Aug212017", News," Aug 21, 2017",, English, English, n/a," New York, N.Y.","Aug 21, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1930559017?accountid=14496, n/a," Musical performances , Lennox, Annie , Imbruglia, Natalie , Calvi, Anna",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=%27Holiday+Destination%27+by+Nadine+Shah+Review%3A+Rock+and+Pop+for+the+Modern+World%3B+The+British+vocalist-composer%27s+third+album+draws+on+current+events+and+is+her+best+yet.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-08-21&amp;volume=&amp;issue=&amp;spage=&amp;au=Fusilli%2C+Jim&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Bannon brings renewed vigor to Breitbart,,1930671938,Newspapers," Farhi, Paul
Farhi
Paul
Paul Farhi"," Republican Party
813940"," Copyright WP Company LLC d/b/a The Washington Post Aug 22, 2017"," WPXXWP20170822BannonbringsrenewedvigortoBreitbartc52d2470 , WPXXWP20170822BannonbringsrenewedvigortoBreitbartc52d2470 , 7653 , PQ_7653_Aug222017", News," Aug 22, 2017",0190-8286, English, English,," Washington, D.C.","Aug 22, 2017",The Washington Post,2017,https://search.proquest.com/docview/1930671938?accountid=14496, C.1," Editorials , National security , Political advertising , Immigration , Competition , United States--US , Israel , Cohn, Gary , Bannon, Stephen K",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Bannon+brings+renewed+vigor+to+Breitbart&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-08-22&amp;volume=&amp;issue=&amp;spage=C.1&amp;au=Farhi%2C+Paul&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The imaginary immigrant hordes,,1930673434,Newspapers," Rampell, Catherine
Rampell
Catherine
Catherine Rampell"," Ipsos MORI
541910 , George Washington University
611310 , Pew Research Center for the People & the Press
541720"," Copyright WP Company LLC d/b/a The Washington Post Aug 22, 2017"," WPXXWP20170822Theimaginaryimmigranthordescdfafea6 , WPXXWP20170822Theimaginaryimmigranthordescdfafea6 , 7653 , PQ_7653_Aug222017", Editorial," Aug 22, 2017",0190-8286, English, English,," Washington, D.C.","Aug 22, 2017",The Washington Post,2017,https://search.proquest.com/docview/1930673434?accountid=14496, A.17," Polls & surveys , Population , Muslims , Politics , Aliens , Immigration , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+imaginary+immigrant+hordes&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-08-22&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=Rampell%2C+Catherine&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Republicans want Trump to stay out of Sen. Jeff Flake's reelection race,,1930674278,Newspapers," Sullivan, Sean
Sullivan
Sean
Sean Sullivan , O'Keefe, Ed
O'Keefe
Ed
Ed O'Keefe"," Republican Party
813940 , Democratic Party
813940"," Copyright WP Company LLC d/b/a The Washington Post Aug 22, 2017"," WPXXWP20170822RepublicanswantTrumptostayoutofSenJeffFlcee1c59a , WPXXWP20170822RepublicanswantTrumptostayoutofSenJeffFlcee1c59a , 7653 , PQ_7653_Aug222017", News," Aug 22, 2017",0190-8286, English, English,," Washington, D.C.","Aug 22, 2017",The Washington Post,2017,https://search.proquest.com/docview/1930674278?accountid=14496, A.4," Primaries & caucuses , Social networks , Presidents , Political appointments , Political leadership , Endorsements , Political parties , Arizona",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Republicans+want+Trump+to+stay+out+of+Sen.+Jeff+Flake%27s+reelection+race&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-08-22&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Sullivan%2C+Sean%3BO%27Keefe%2C+Ed&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump is coming to vocal critic's backyard,,1930675890,Newspapers," Lee, Kurtis
Lee
Kurtis
Kurtis Lee"," Republican Party
813940 , Federal Bureau of Investigation--FBI
922120"," Copyright Los Angeles Times Aug 22, 2017"," 7683 , PQ_7683_Aug222017 , LATMLATM2017082219757 , LATMLATM2017082219757", News," Aug 22, 2017",0458-3035, English, English, A.10," Los Angeles, Calif.","Aug 22, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1930675890?accountid=14496, A.10," Social networks , Political campaigns , Presidential elections , White supremacists , Political advertising , Political parties , Comey, James B , Arizona"," FLAKE, JEFF , TRUMP, DONALD J , ARIZONA , SENATE (U.S.) , POLITICAL CANDIDATES , POLITICAL CAMPAIGNS , REPUBLICAN PARTY , FEUDS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Trump+is+coming+to+vocal+critic%27s+backyard&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-08-22&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Lee%2C+Kurtis&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"SEEKING ASYLUM; Fleeing home, they support it from afar; In L.A., Venezuelans who escaped political turmoil and violence express solidarity with anti-government efforts",,1930675891,Newspapers," Miller, Leila
Leila
Leila Miller
Miller
Leila Miller"," US Citizenship & Immigration Services
928120"," Copyright Los Angeles Times Aug 22, 2017"," 7683 , PQ_7683_Aug222017 , LATMLATM2017082219751 , LATMLATM2017082219751", News," Aug 22, 2017",0458-3035, English, English, B.1," Los Angeles, Calif.","Aug 22, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1930675891?accountid=14496, B.1," Local elections , Students , Political activism , Social networks , Police , Prisons , Political asylum , Demonstrations & protests , Militia groups , Maduro, Nicolas , United States--US , Venezuela , Americas , California , Los Angeles California"," VENEZUELA , JUDGES , POLITICAL ASYLUM , POLICE BRUTALITY , LOS ANGELES , UBER (COMPANY) , DRIVERS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=SEEKING+ASYLUM%3B+Fleeing+home%2C+they+support+it+from+afar%3B+In+L.A.%2C+Venezuelans+who+escaped+political+turmoil+and+violence+express+solidarity+with+anti-government+efforts&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-08-22&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Miller%2C+Leila&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
