Title,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Trump's policies leave us ever more alone,1991049198,Newspapers," Bruenig, Elizabeth
Bruenig
Elizabeth
Elizabeth Bruenig"," American Federation of State County & Municipal Employees
813930 , Centers for Medicare & Medicaid Services
923120"," Copyright WP Company LLC d/b/a The Washington Post Jan 26, 2018"," WPXXWP20180126Trumpspoliciesleaveusevermorealoned9b60e62 , WPXXWP20180126Trumpspoliciesleaveusevermorealoned9b60e62 , 7653 , PQ_7653_Jan262018______", Commentary," Jan 26, 2018",0190-8286, English, English,," Washington, D.C.","Jan 26, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991049198?accountid=14496, A.21," Families & family life , Public assistance programs , Nationalism , Politics , Employment , Editorials , Health care policy , Political leadership , Policy making , Medicaid , Presidents , Community , Labor unions , Populism , Loneliness , Trump, Donald J , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Trump%27s+policies+leave+us+ever+more+alone&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-26&amp;volume=&amp;issue=&amp;spage=A.21&amp;au=Bruenig%2C+Elizabeth&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
America had nothing for me,1991049577,Newspapers," Rodriguez, Ariel
Rodriguez
Ariel
Ariel Rodriguez"," Bureau of Immigration & Customs Enforcement
921130"," Copyright WP Company LLC d/b/a The Washington Post Jan 26, 2018"," WPXXWP20180126Americahadnothingformea41fec10 , WPXXWP20180126Americahadnothingformea41fec10 , 7653 , PQ_7653_Jan262018______", Commentary," Jan 26, 2018",0190-8286, English, English,," Washington, D.C.","Jan 26, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991049577?accountid=14496, A.19," Hispanics , Editorials , Higher education , Aliens , Immigration , Trump, Donald J , Mexico , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=America+had+nothing+for+me&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-26&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Rodriguez%2C+Ariel&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump Promotes the U.S. as 'Open for Business' in Davos Speech; U.S. president's 'America First' message has evoked skepticism at festival of globalization,1991508731,Newspapers," Ballhaus, Rebecca
Rebecca
Rebecca Ballhaus
Ballhaus
Rebecca Ballhaus; Peter Nicholas , Nicholas, Peter
Peter
Peter Nicholas
Nicholas"," World Economic Forum
926110 , African Union
813940"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20180127000020180126ee1q00231 , WSJOWSJO20180127000020180126ee1q00231 , 117310 , PQ_117310_Jan272018______", News," Jan 27, 2018",, English, English, n/a," New York, N.Y.","Jan 27, 2018",Wall Street Journal (Online),2018,https://search.proquest.com/docview/1991508731?accountid=14496, n/a," Globalization , Trade agreements , Tariffs , Speeches , Political campaigns , Presidents , Free trade , Fair trade , Prime ministers , Immigration , Protectionism , Economic summit conferences , Switzerland , United States--US , Pacific Rim",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Trump+Promotes+the+U.S.+as+%27Open+for+Business%27+in+Davos+Speech%3B+U.S.+president%27s+%27America+First%27+message+has+evoked+skepticism+at+festival+of+globalization&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2018-01-27&amp;volume=&amp;issue=&amp;spage=&amp;au=Ballhaus%2C+Rebecca%3BNicholas%2C+Peter&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
CASA in Action endorses Jealous for governor,1991555496,Newspapers," Nirappil, Fenit
Nirappil
Fenit
Fenit Nirappil"," National Association for the Advancement of Colored People--NAACP
813311"," Copyright WP Company LLC d/b/a The Washington Post Jan 27, 2018"," WPXXWP20180127CASAinActionendorsesJealousforgovernor99e0054a , WPXXWP20180127CASAinActionendorsesJealousforgovernor99e0054a , 7653 , PQ_7653_Jan272018______", News," Jan 27, 2018",0190-8286, English, English,," Washington, D.C.","Jan 27, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991555496?accountid=14496, B.3," County executives , Governors , Candidates , Endorsements , Maryland , Booker, Cory A , Van Hollen, Chris , United States--US , Sanders, Bernard , Baltimore County Maryland , Obama, Michelle",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=CASA+in+Action+endorses+Jealous+for+governor&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-27&amp;volume=&amp;issue=&amp;spage=B.3&amp;au=Nirappil%2C+Fenit&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump taunts Schumer for taking a 'beating' on government shutdown,1991555497,Newspapers," Nakamura, David
Nakamura
David
David Nakamura"," National Review
511120 , Twitter Inc
519130 , Congress
921120 , American Immigration Lawyers Association
813940 , Migration Policy Institute
813940 , Senate
921120 , Department of Homeland Security
922120 , Center for Immigration Studies
541720"," Copyright WP Company LLC d/b/a The Washington Post Jan 27, 2018"," WPXXWP20180127TrumptauntsSchumerfortakingabeatingongovd0efec58 , WPXXWP20180127TrumptauntsSchumerfortakingabeatingongovd0efec58 , 7653 , PQ_7653_Jan272018______", News," Jan 27, 2018",0190-8286, English, English,," Washington, D.C.","Jan 27, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991555497?accountid=14496, A.4," National security , Social networks , Families & family life , Citizenship , Presidents , Shutdowns , Aliens , Immigration , Trump, Donald J , Switzerland , United States--US , Nielsen, Kirstjen , Schumer, Charles E , Durbin, Richard J , Kelly, John F",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Trump+taunts+Schumer+for+taking+a+%27beating%27+on+government+shutdown&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-27&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Nakamura%2C+David&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Queens English,1991555501,Newspapers," Roig-Franzia, Manuel
Roig-Franzia
Manuel
Manuel Roig-Franzia",," Copyright WP Company LLC d/b/a The Washington Post Jan 27, 2018"," WPXXWP20180127QueensEnglish9476a6d4 , WPXXWP20180127QueensEnglish9476a6d4 , 7653 , PQ_7653_Jan272018______", News," Jan 27, 2018",0190-8286, English, English,," Washington, D.C.","Jan 27, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991555501?accountid=14496, C.1," Political campaigns , Speeches , Listening , Speaking , Candidates , Immigration , Presidents , State of the Union Address , Trump, Donald J , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Queens+English&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-27&amp;volume=&amp;issue=&amp;spage=C.1&amp;au=Roig-Franzia%2C+Manuel&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"'If they come for you, they come for me'",1991555572,Newspapers," Zauzmer, Julie
Zauzmer
Julie
Julie Zauzmer"," United States Conference of Catholic Bishops
813110"," Copyright WP Company LLC d/b/a The Washington Post Jan 27, 2018"," WPXXWP20180127Iftheycomeforyoutheycomeformeba2a8a90 , WPXXWP20180127Iftheycomeforyoutheycomeformeba2a8a90 , 7653 , PQ_7653_Jan272018______", News," Jan 27, 2018",0190-8286, English, English,," Washington, D.C.","Jan 27, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991555572?accountid=14496, B.2," Clergy , Immigration policy , Catholicism , Religious congregations , Aliens , United States--US , Atlanta Georgia",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=%27If+they+come+for+you%2C+they+come+for+me%27&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-27&amp;volume=&amp;issue=&amp;spage=B.2&amp;au=Zauzmer%2C+Julie&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"At Davos, Trump takes salesman's approach to globalism",1991555619,Newspapers," Gearan, Anne
Gearan
Anne
Anne Gearan , Long, Heather
Long
Heather
Heather Long"," World Economic Forum
926110 , African Union
813940 , IHS Markit
511210
519130
541512
541910 , Congress
921120 , European Union
926110
928120"," Copyright WP Company LLC d/b/a The Washington Post Jan 27, 2018"," WPXXWP20180127AtDavosTrumptakessalesmansapproachtoglob3e991bf6 , WPXXWP20180127AtDavosTrumptakessalesmansapproachtoglob3e991bf6 , 7653 , PQ_7653_Jan272018______", News," Jan 27, 2018",0190-8286, English, English,," Washington, D.C.","Jan 27, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991555619?accountid=14496, A.8," Economists , Speeches , Presidents , Packaging , Trade agreements , Sovereignty , Leadership , Economic summit conferences , Trump, Donald J , Kagame, Paul , Denmark , Merkel, Angela , Peterson, Douglas , Europe , Switzerland , United States--US , Ross, Wilbur L Jr , Rwanda , China , Macron, Emmanuel , Clinton, Hillary Rodham",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=At+Davos%2C+Trump+takes+salesman%27s+approach+to+globalism&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-27&amp;volume=&amp;issue=&amp;spage=A.8&amp;au=Gearan%2C+Anne%3BLong%2C+Heather&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Sessions calls for more limits on legal, illegal immigration",1991555632,Newspapers," Horwitz, Sari
Horwitz
Sari
Sari Horwitz",," Copyright WP Company LLC d/b/a The Washington Post Jan 27, 2018"," WPXXWP20180127Sessionscallsformorelimitsonlegalillegal1c1db4ca , WPXXWP20180127Sessionscallsformorelimitsonlegalillegal1c1db4ca , 7653 , PQ_7653_Jan272018______", News," Jan 27, 2018",0190-8286, English, English,," Washington, D.C.","Jan 27, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991555632?accountid=14496, A.14," Immigration policy , Terrorism , Attorneys general , Migration , Convictions , Aliens , Trump, Donald J , United States--US , New York , Canada , Arizona , Sessions, Jeff , Australia , Virginia , Syria , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Sessions+calls+for+more+limits+on+legal%2C+illegal+immigration&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-27&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Horwitz%2C+Sari&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Immigration plan holds something bitter for each side,1991555727,Newspapers," Sacchetti, Maria
Sacchetti
Maria
Maria Sacchetti"," Congress
921120 , NumbersUSA
541720 , Senate
921120 , Center for Immigration Studies
541720"," Copyright WP Company LLC d/b/a The Washington Post Jan 27, 2018"," WPXXWP20180127Immigrationplanholdssomethingbitterforea5e66a47c , WPXXWP20180127Immigrationplanholdssomethingbitterforea5e66a47c , 7653 , PQ_7653_Jan272018______", News," Jan 27, 2018",0190-8286, English, English,," Washington, D.C.","Jan 27, 2018",The Washington Post,2018,https://search.proquest.com/docview/1991555727?accountid=14496, A.4," Immigration policy , Parents & parenting , Bills , Families & family life , Citizenship , Employment , Aliens , Amnesties , Trump, Donald J , Mexico , United States--US , California , Los Angeles California , Alabama",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Immigration+plan+holds+something+bitter+for+each+side&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2018-01-27&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Sacchetti%2C+Maria&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
