Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Lynch: 'Persevere',"  ATTORNEY GENERAL ADDRESSES HATE CRIMES At interfaith meeting, she tries to calm U.S. Muslims' fears Outgoing Attorney General Loretta E. Lynch on Monday urged Americans, and specifically American Muslims, to have faith and to ""persevere"" in the face of ""challenges in the years ahead"" - even as they grapple with the highest rate of hate crimes since Sept. 11, 2001, and growing concerns about the country's new politics.",1848005949,Newspapers," Hauslohner, Abigail
Hauslohner
Abigail
Abigail Hauslohner , Hauslohner, Abigail
Hauslohner
Abigail
Abigail Hauslohner",,," (Copyright The Washington Post Company, Dec 13, 2016)"," 4276147221 , 109554672 , 7653 , TWP , WPXXWP20161213LynchPersevere46b4c6e8", News," Dec 13, 2016",0190-8286, English, English, B.2," Washington, D.C.","Dec 13, 2016",The Washington Post,2016,https://search.proquest.com/docview/1848005949?accountid=14496, B.2," Attorneys general , Muslims , Hate crimes , Bans", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Lynch%3A+%27Persevere%27&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-12-13&amp;volume=&amp;issue=&amp;spage=B.2&amp;au=Hauslohner%2C+Abigail&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"An American Dream Fulfilled; My grandparents could have moved many places, but--despite the rampant racism of 1910--they believed in the U.S.","  ""The dream that started in 1910 has been forever acknowledged,"" wrote Gus Kakavas, president of the school's alumni association, in a caption for a video that shows the unveiling of the sign.",1848275121,Newspapers," Gaiter, Dorothy J
Gaiter
J
Dorothy
Dorothy J. Gaiter , Gaiter, Dorothy J
Gaiter
J
Dorothy
Dorothy J. Gaiter",,," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4276926161 , 109594502 , 117310 , WSJO , WSJOWSJO20161214000020161214ecce0002t", News," Dec 14, 2016",, English, English, n/a," New York, N.Y.","Dec 14, 2016",Wall Street Journal (Online),2016,https://search.proquest.com/docview/1848275121?accountid=14496, n/a," Secondary schools , Grandparents , Cleveland Ohio",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=An+American+Dream+Fulfilled%3B+My+grandparents+could+have+moved+many+places%2C+but--despite+the+rampant+racism+of+1910--they+believed+in+the+U.S.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=&amp;au=Gaiter%2C+Dorothy+J&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"Prepare for a Rocky Confirmation Process; Given Trump's cabinet nominees, conciliation seems a long way off.","  Sen. Jeff Sessions, his choice for attorney general, takes a harder line on immigration than most other Republicans, and his past statements on racial issues, which blocked his path to a federal judicial appointment, are sure to be re-aired during his confirmation hearings.",1848275151,Newspapers," Galston, William A
Galston
A
William
William A. Galston , Galston, William A
Galston
A
William
William A. Galston",," Congress
921120 , Environmental Protection Agency--EPA
924110 , Exxon Mobil Corp
447110
211111 , Goldman Sachs Group Inc
523110
523120"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4276926241 , 109594502 , 117310 , WSJO , WSJOWSJO20161214000020161214ecce000dz", News," Dec 14, 2016",, English, English, n/a," New York, N.Y.","Dec 14, 2016",Wall Street Journal (Online),2016,https://search.proquest.com/docview/1848275151?accountid=14496, n/a," Presidents , Immigration , Political campaigns , Russia , United States--US , Tillerson, Rex W , Sessions, Jeff , Putin, Vladimir",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Prepare+for+a+Rocky+Confirmation+Process%3B+Given+Trump%27s+cabinet+nominees%2C+conciliation+seems+a+long+way+off.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=&amp;au=Galston%2C+William+A&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Uncertainty forces U.K. firms to mull their own Brexits,"  [...]although the initial economic impact has been milder than many feared, there are signs of a gathering storm as businesses opt to shift operations overseas rather than stick it out in the U.K. Nearly six months after the vote, the shape of Britain's post-Brexit relationship with Europe remains a mystery. Many are planning for the worst, expecting that the country will wind up outside both the common market for commerce within the E.U. - the world's largest - and the customs union that governs trade between E.U. members and the rest of the world. [...]the true impact of Brexit can be hard to see in macro gauges of the country's economic health.",1848352210,Newspapers," Witte, Griff
Witte
Griff
Griff Witte , Witte, Griff
Witte
Griff
Griff Witte",,," (Copyright The Washington Post Company, Dec 14, 2016)"," 4277135161 , 109554812 , 7653 , TWP , WPXXWP20161214UncertaintyforcesUKfirmstomulltheirownBr21aeaae5", News," Dec 14, 2016",0190-8286, English, English, A.1," Washington, D.C.","Dec 14, 2016",The Washington Post,2016,https://search.proquest.com/docview/1848352210?accountid=14496, A.1," EU membership , Planning , Shipments , United Kingdom--UK , Europe", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Uncertainty+forces+U.K.+firms+to+mull+their+own+Brexits&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Witte%2C+Griff&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Ms. Lynch, leading by example","  A report by the FBI last month showed reported hate crimes against Muslims increased by nearly 67 percent in 2015compared with the previous year, making for the highest number since the aftermath of the Sept.11,2001, terrorist attacks. Since the election of Mr. Trump, civil rights groups and others have catalogued hundreds of incidents around the country that targeted Muslims, immigrants, blacks, Jews, women and LGBT people.",1848352306,Newspapers,,,," (Copyright The Washington Post Company, Dec 14, 2016)"," 4277135221 , 109554812 , 7653 , TWP , WPXXWP20161214MsLynchleadingbyexample505933be", Editorial," Dec 14, 2016",0190-8286, English, English, A.16," Washington, D.C.","Dec 14, 2016",The Washington Post,2016,https://search.proquest.com/docview/1848352306?accountid=14496, A.16," Attorneys general , Crime , Hate crimes , Political campaigns , Christian Islamic relations , Muslims , Mosques & temples", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Ms.+Lynch%2C+leading+by+example&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Silicon Valley faces Trump's music; Tech CEOs go before a president-elect with reason to be hostile.,"  [...]open resentment of Trump has been the rule at many start-ups and among outspoken venture capitalists, but most of the giant tech firms that are expected to be represented at Trump Tower have been careful to hedge their bets.",1848372374,Newspapers," Evan Halper and
Evan Halper and , Pierson, David
Pierson
David
David Pierson , Evan Halper and
Evan Halper and , Pierson, David
Pierson
David
David Pierson",," Google Inc
519130", (Copyright (c) 2016 Los Angeles Times)," 4277157261 , 109604412 , 7683 , ANGE , LATM2016121433518", News," Dec 14, 2016",0458-3035, English, English, A.1," Los Angeles, Calif.","Dec 14, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1848372374?accountid=14496, A.1," Social networks , High tech industries , Innovations , Political campaigns"," TRUMP, DONALD J , SANTA CLARA VALLEY (SILICON VALLEY) , TECHNOLOGY , EXECUTIVES , POLITICS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Silicon+Valley+faces+Trump%27s+music%3B+Tech+CEOs+go+before+a+president-elect+with+reason+to+be+hostile.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Evan+Halper+and%3BPierson%2C+David&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Made in Los Angeles, for $3 an hour",  The report revealed that 85% of garment industry employers studied were violating federal minimum wage and record-keeping laws.,1848372540,Newspapers," Kornberg, Jessie
Kornberg
Jessie
Jessie Kornberg , Kornberg, Jessie
Kornberg
Jessie
Jessie Kornberg",,, (Copyright (c) 2016 Los Angeles Times)," 4277157911 , 109604412 , 7683 , ANGE , LATM2016121433453", Editorial," Dec 14, 2016",0458-3035, English, English, A.15," Los Angeles, Calif.","Dec 14, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1848372540?accountid=14496, A.15," Minimum wage , Clothing , Wages & salaries , Workers , Labor standards , California , United States--US , Los Angeles California", Opinion piece,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Made+in+Los+Angeles%2C+for+%243+an+hour&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Kornberg%2C+Jessie&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
POLITICS WATCH; Interest in House race grows; Five have already tossed their hats in the ring for Rep. Becerra's soon-to-be-vacant seat,"  Perez, who ran unsuccessfully for state controller in 2014, had already received dozens of endorsements from members of the state Democratic Party when he dropped out, scrambling the race.",1848372707,Newspapers," Mai-Duc, Christine
Mai-Duc
Christine
CHRISTINE MAI-DUC , Mai-Duc, Christine
Mai-Duc
Christine
CHRISTINE MAI-DUC",,, (Copyright (c) 2016 Los Angeles Times)," 4277157511 , 109604412 , 7683 , ANGE , LATM2016121433493", News," Dec 14, 2016",0458-3035, English, English, B.2," Los Angeles, Calif.","Dec 14, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1848372707?accountid=14496, B.2," Presidential elections , State elections , Bills , Candidates , California , United States--US , East Los Angeles California"," CALIFORNIA , POLITICAL CANDIDATES , CONGRESSIONAL ELECTIONS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=POLITICS+WATCH%3B+Interest+in+House+race+grows%3B+Five+have+already+tossed+their+hats+in+the+ring+for+Rep.+Becerra%27s+soon-to-be-vacant+seat&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=B.2&amp;au=Mai-Duc%2C+Christine&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
A Fresh Start or Crazy Reckless?,"  [...]my fellow Americans, whatever mix of motives led us to create an Electoral College majority for Donald Trump to become president -- and overlook his lack of preparation, his record of indecent personal behavior, his madcap midnight tweeting, his casual lying about issues like ""millions"" of people casting illegal votes in this election, the purveying of fake news by his national security adviser, his readiness to appoint climate change deniers without even getting a single briefing from the world's greatest climate scientists in the government he'll soon lead and his cavalier dismissal of the C.I.A.'s conclusions about Russian hacking of our election -- have no doubt about one thing: [...]the next day Trump and his national security adviser, Mike Flynn, the purveyor of fake news about Hillary Clinton, defend themselves by saying, ""We acted on the 'high confidence' assessment of the C.I.A."" Who's going to believe them after they just trashed the C.I.A.? Finally, Trump has demonstrated a breathtaking naïveté toward Putin.",1848376689,Newspapers," Friedman, Thomas L
Friedman
L
Thomas
Thomas L. Friedman , Friedman, Thomas L
Friedman
L
Thomas
Thomas L. Friedman", NYTIAO,," Copyright New York Times Company Dec 14, 2016"," 4277163501 , 109554802 , 7818 , NYTIAO , NYT , 207926-20161214", Commentary," Dec 14, 2016",0362-4331, English, English, A.27," New York, N.Y.","Dec 14, 2016",New York Times,2016,https://search.proquest.com/docview/1848376689?accountid=14496, A.27," Foreign policy , Climate change , National security , Cabinet , Political appointments , Russia , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=A+Fresh+Start+or+Crazy+Reckless%3F%3A+Commentary&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=A.27&amp;au=Friedman%2C+Thomas+L&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Where Jobs Mattered More Than a Wall,"  ""Illegal immigration isn't something that's on people's minds around here, Hispanic or not Hispanic,"" said Capt. Eben Bratcher of the Yuma County Sheriff's Office.",1848380017,Newspapers," Santos, Fernanda
Santos
Fernanda
Fernanda Santos , Santos, Fernanda
Santos
Fernanda
Fernanda Santos", NYTIAO,," Copyright New York Times Company Dec 14, 2016"," 4277163231 , 109554802 , 7818 , NYTIAO , NYT , 963437-20161214", News," Dec 14, 2016",0362-4331, English, English, A.12," New York, N.Y.","Dec 14, 2016",New York Times,2016,https://search.proquest.com/docview/1848380017?accountid=14496, A.12," Aliens , Immigration policy , Hispanic Americans , Job creation , Presidential elections , Mexico , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Where+Jobs+Mattered+More+Than+a+Wall%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-12-14&amp;volume=&amp;issue=&amp;spage=A.12&amp;au=Santos%2C+Fernanda&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
