date_adj,pres,sentiment
2016-11-06,Trump,-69
2016-11-07,Obama,13
2016-11-07,Trump,55
2016-11-08,Obama,18
2016-11-08,Trump,-88
2016-11-09,Obama,-110
2016-11-09,Trump,113
2016-11-10,Obama,67
2016-11-10,Trump,-191
2016-11-11,Obama,-74
2016-11-11,Trump,-227
2016-11-12,Obama,-49
2016-11-12,Trump,-99
2016-11-13,Obama,85
2016-11-13,Trump,-178
2016-11-14,Obama,-55
2016-11-14,Trump,-54
2016-11-15,Obama,-34
2016-11-15,Trump,-227
2016-11-16,Obama,-77
2016-11-16,Trump,-161
2016-11-17,Obama,-59
2016-11-17,Trump,-154
2016-11-18,Obama,-5
2016-11-18,Trump,-277
2016-11-19,Obama,-68
2016-11-19,Trump,-224
2016-11-20,Obama,-49
2016-11-20,Trump,-332
2016-11-21,Obama,20
2016-11-21,Trump,81
2016-11-22,Obama,-46
2016-11-22,Trump,-106
2016-11-23,Obama,-25
2016-11-23,Trump,-80
2016-11-24,Obama,-20
2016-11-24,Trump,54
2016-11-25,Obama,25
2016-11-25,Trump,-7
2016-11-26,Obama,-59
2016-11-26,Trump,-92
2016-11-27,Obama,-78
2016-11-27,Trump,-211
2016-11-28,Obama,16
2016-11-28,Trump,-173
2016-11-29,Obama,-59
2016-11-29,Trump,-170
2016-11-30,Obama,22
2016-11-30,Trump,-149
2016-12-01,Obama,-11
2016-12-01,Trump,-232
2016-12-02,Obama,-78
2016-12-02,Trump,95
2016-12-03,Obama,-59
2016-12-03,Trump,-77
2016-12-04,Obama,-49
2016-12-04,Trump,-100
2016-12-05,Obama,-110
2016-12-05,Trump,-19
2016-12-06,Obama,-159
2016-12-06,Trump,-95
2016-12-07,Obama,-18
2016-12-07,Trump,-216
2016-12-08,Obama,-74
2016-12-08,Trump,-2
2016-12-09,Obama,-61
2016-12-09,Trump,12
2016-12-10,Obama,-79
2016-12-10,Trump,135
2016-12-11,Obama,-120
2016-12-11,Trump,-79
2016-12-12,Obama,-168
2016-12-12,Trump,-36
2016-12-13,Obama,2
2016-12-13,Trump,-46
2016-12-14,Obama,-98
2016-12-14,Trump,-37
2016-12-15,Obama,2
2016-12-15,Trump,-65
2016-12-16,Obama,11
2016-12-16,Trump,4
2016-12-17,Obama,-160
2016-12-17,Trump,-129
2016-12-18,Obama,-41
2016-12-18,Trump,-120
2016-12-19,Obama,54
2016-12-19,Trump,-35
2016-12-20,Obama,-100
2016-12-20,Trump,-209
2016-12-21,Obama,-113
2016-12-21,Trump,-274
2016-12-22,Obama,-75
2016-12-22,Trump,-185
2016-12-23,Obama,-228
2016-12-23,Trump,-303
2016-12-24,Obama,-24
2016-12-24,Trump,-171
2016-12-25,Obama,-16
2016-12-25,Trump,-311
2016-12-26,Obama,-75
2016-12-26,Trump,-129
2016-12-27,Obama,-57
2016-12-27,Trump,-99
2016-12-28,Obama,-209
2016-12-28,Trump,-197
2016-12-29,Obama,-43
2016-12-29,Trump,19
2016-12-30,Obama,-45
2016-12-30,Trump,66
2016-12-31,Obama,-8
2016-12-31,Trump,-213
2017-01-01,Obama,-106
2017-01-01,Trump,-112
2017-01-02,Obama,-143
2017-01-02,Trump,-94
2017-01-03,Obama,-150
2017-01-03,Trump,-56
2017-01-04,Obama,-109
2017-01-04,Trump,0
2017-01-05,Obama,-78
2017-01-05,Trump,-259
2017-01-06,Obama,-119
2017-01-06,Trump,-234
2017-01-07,Obama,-32
2017-01-07,Trump,-68
